,prefix,region,max_density_apical,num_nodes_apical,total_path_length_apical,volume_apical,num_branches_apical,dist_to_soma_apical,dist_to_soma2_apical,num_hubs_apical,variance_ratio_apical
0,17109_1701_x8048_y22277,AId,22,22,37.9548,201.4761,10,4.2471,0.0,0,0.4748856867710638
1,17109_1801_x6698_y12550,AId,62,62,96.278,480.4224,30,2.2353,0.0,1,0.4285023046073551
2,17109_1901_x9602_y10508,AId,30,30,61.1439,503.9978,14,2.7108,0.0,0,0.4690443996512426
3,17109_2301_x8535_y23051,AId,22,22,52.7313,462.8955,10,4.6184,0.0,0,0.474304026061904
4,17109_2301_x9418_y23665,AId,48,48,65.9634,322.0364,23,1.2376,0.0,0,0.5030972016303702
5,17109_2401_x9338_y2394,AId,36,36,52.3078,184.8607,17,1.706,0.0,0,0.4556107610999242
6,17109_2401_x9954_y9122,AId,28,28,49.0563,302.9915,13,3.5859,0.0,0,0.5047857417570413
7,17109_2601_x9498_y8169,AId,51,51,81.0889,644.0154,24,2.979,0.0,1,0.40729082495061764
8,17782_3138_x32805_y18352,AId,31,31,56.0501,517.8193,14,3.702,0.0,0,0.45266420511770994
9,17782_3253_x33739_y18314,AId,66,66,106.4594,908.7976,32,4.0572,0.0,1,0.5181979123586998
10,182724_2525_x8483_y21088,AId,125,125,255.3827,4905.1732,61,12.0278,8.92636616994845,1,0.4999232011936228
11,182725_2917_x9391_y22263,AId,156,156,499.5308,15548.6858,77,8.7339,10.80910014756085,1,0.40830205222977434
12,191807_2469_x5431_y10056,AId,134,135,250.2747,5166.0814,65,15.1356,11.825689789606344,1,0.5269927757492016
13,236174_2657_x11930_y12250,AId,40,40,54.2311,244.8808,19,2.1799,0.0,0,0.4561189054223474
14,236174_2801_x11376_y11451,AId,39,39,93.0304,1530.6302,18,3.2975,0.0,0,0.4649995565543766
15,236174_3215_x11999_y11133,AId,36,36,63.1298,372.7479,17,3.617,0.0,0,0.5181615871233909
16,236174_3229_x11884_y10380,AId,42,42,63.4501,275.1685,20,3.3604,0.0,0,0.4310331752441312
17,236174_3729_x15151_y26698,AId,32,32,37.5305,79.4585,15,2.3803,0.0,0,0.5423623784700493
18,236174_3929_x12721_y8845,AId,46,46,68.1291,247.9642,22,4.5702,0.9444924562959685,0,0.40975558864862427
19,17109_2201_x8046_y23301,MOs,72,72,122.9497,815.1699,35,3.848,0.0,1,0.4849430534914531
20,18047_2622_x11862_y12983,MOs,50,50,145.6283,8448.2998,24,8.9278,8.192754420828203,0,0.42462451268778156
21,18047_3132_x24052_y12385,MOs,41,41,124.1529,7002.1724,19,12.0173,7.106458822789309,0,0.4556450128798072
22,18047_4141_x14168_y9063,MOs,112,112,264.249,4010.1335,55,10.684,4.40694066218278,1,0.4370674211257218
23,182724_2238_x7096_y20268,MOs,152,152,381.2745,7202.5297,74,8.4231,7.61521851295155,1,0.4418914253789223
24,182724_2247_x6785_y11803,MOs,156,156,386.4743,11068.6952,76,11.4445,8.053803387220215,1,0.4448664832762232
25,182724_2333_x7081_y21185,MOs,133,133,367.6806,6797.0285,64,10.7509,8.451915404214597,1,0.430679375182439
26,182724_2494_x6419_y20983,MOs,112,112,346.1019,9682.0969,54,10.6154,10.656935253627088,1,0.43400539565107216
27,182724_2526_x7529_y21792,MOs,145,145,412.3774,13994.4428,71,9.1501,9.017462226147668,1,0.39637726311342675
28,182724_2670_x5615_y13225,MOs,148,148,367.5641,8363.2037,73,10.6539,17.801710339178083,1,0.42809447274586443
29,182724_2926_x5279_y13761,MOs,138,138,364.8028,10264.9392,68,11.8363,11.914310303160642,1,0.4997442663439331
30,182724_2997_x5821_y12613,MOs,35,35,92.8253,3132.6041,16,15.0546,7.421328789374581,0,0.5437909521129248
31,182725_2241_x9113_y11193,MOs,164,164,413.6198,7740.1066,79,10.9611,6.315804145158408,1,0.42431923094623897
32,182725_2390_x8944_y12077,MOs,143,151,299.2864,4447.3077,74,20.1921,20.24188257055158,1,0.6515572755924872
33,18453_1641_x24165_y10580,MOs,60,60,110.2355,1144.5457,29,4.141,2.7886632998625,1,0.4420646639052095
34,18453_1643_x24077_y11694,MOs,50,50,86.4768,602.3316,24,3.7856,0.0,0,0.6414574488722412
35,18453_1924_x22284_y8069,MOs,37,37,88.1774,1521.5757,18,3.8728,0.7427846255813341,0,0.5381360718771864
36,18453_2190_x23739_y8507,MOs,74,74,164.5489,3362.5622,36,5.7057,0.0,1,0.3996158121496529
37,18453_2400_x15836_y7243,MOs,66,66,155.749,2685.6418,32,5.0296,0.0,1,0.43367524057269596
38,18453_2428_x13810_y8197,MOs,20,20,51.7372,1746.5481,9,3.0968,0.0,0,0.41506917707276425
39,18453_2632_x11687_y8383,MOs,78,78,166.6893,2894.4757,38,4.9715,0.0,1,0.3835544575921988
40,18453_2884_x12998_y7285,MOs,62,62,100.731,1000.8279,30,3.7728,0.0,1,0.4157347281841155
41,18453_2991_x13607_y7348,MOs,44,44,74.4031,1198.2922,21,6.4883,0.0,0,0.5030770993184359
42,18453_3516_x21006_y6048,MOs,50,50,102.4978,3392.3544,24,6.3575,0.0,0,0.3577210842421442
43,18461_2985_x10744_y3095,MOs,86,86,161.6705,1243.9356,42,2.2131,0.0,1,0.5222105936357458
44,18470_3582_x22459_y29708,MOs,62,62,176.365,7655.2632,30,8.2577,7.076432575811056,1,0.4680756943003144
