,prefix,region,max_density_axonal1,num_nodes_axonal1,total_path_length_axonal1,volume_axonal1,num_branches_axonal1,dist_to_soma_axonal1,dist_to_soma2_axonal1,num_hubs_axonal1,variance_ratio_axonal1,max_density_axonal2,num_nodes_axonal2,total_path_length_axonal2,volume_axonal2,num_branches_axonal2,dist_to_soma_axonal2,dist_to_soma2_axonal2,num_hubs_axonal2,variance_ratio_axonal2
0,17109_1701_x8048_y22277,AId,33,124,1358.3185,1026463.7746,39,20.9013,8.748355616914534,0,0.4207759644801555,36,110,1007.8544,1031548.7685,39,140.7482,141.10693223226136,0,0.3988763886835983
1,17109_1801_x6698_y12550,AId,49,300,3055.306,3342856.158,97,75.4616,146.33997903853887,0,0.42526250035287744,64,194,2035.4866,1047870.3769,59,150.6443,151.99164811923052,1,0.390776151026918
2,17109_1901_x9602_y10508,AId,34,81,754.6373,599257.4307,27,49.4558,23.557152417047334,0,0.47232557867222724,90,160,1215.6971,460429.2329,63,172.7127,177.28678501512744,1,0.4274372028369932
3,17109_2301_x8535_y23051,AId,27,86,852.9009,608263.0412,29,27.2482,39.172682867018445,0,0.4428078036140614,32,123,1406.472,1299466.6861,35,204.527,190.408596226641,0,0.5359714155922837
4,17109_2301_x9418_y23665,AId,39,121,1094.3105,919824.5927,43,35.8374,16.319543529155496,0,0.5447006552262047,46,151,1422.5705,1459035.0451,53,188.0415,182.36163446021203,0,0.475053740580889
5,17109_2401_x9338_y2394,AId,58,174,1604.9374,928686.4004,65,74.5109,98.29521443590222,1,0.4378708935899009,28,104,946.4224,858375.7659,37,169.8968,161.3093485485575,0,0.39461282877365483
6,17109_2401_x9954_y9122,AId,53,136,1255.6391,1289663.0777,49,48.3399,4.25515452128357,1,0.5708273665036908,25,120,1225.6878,1358573.3754,39,212.0472,228.15370092111152,0,0.4211561324773509
7,17109_2601_x9498_y8169,AId,35,93,863.2672,478805.9434,31,49.1517,71.32016681135849,0,0.4610108023195283,32,111,1203.9833,2503768.9931,32,261.4674,248.27527145891918,0,0.5223984890281116
8,17782_3138_x32805_y18352,AId,91,377,2740.056,2042595.1383,138,14.1837,23.355898227214468,1,0.5817612810936406,75,211,1580.7797,1811239.8168,77,193.3438,186.71894493596514,1,0.42217149619190897
9,17782_3253_x33739_y18314,AId,55,106,714.6303,225648.0633,44,64.2817,72.8217556297567,1,0.5875327139862663,77,338,2656.1371,1704221.7162,131,71.0997,97.0318734746475,1,0.5486574111017057
