,prefix,region,max_density_basal,num_nodes_basal,total_path_length_basal,volume_basal,num_branches_basal,dist_to_soma_basal,dist_to_soma2_basal,num_hubs_basal,variance_ratio_basal
0,17109_1701_x8048_y22277,AId,63,63,85.9306,383.3496,29,0.6654,0.0,1,0.4164228475079883
1,17109_1801_x6698_y12550,AId,58,58,88.7115,465.3269,28,1.4276,0.0,1,0.34699471498164514
2,17109_1901_x9602_y10508,AId,49,49,103.8359,957.0274,23,1.9005,0.0,0,0.4318710508556874
3,17109_2301_x8535_y23051,AId,63,63,131.4813,989.7211,29,0.9338,0.0,1,0.44513071291165723
4,17109_2301_x9418_y23665,AId,48,48,98.4131,689.5864,21,1.4907,0.0,0,0.4622228655605762
5,17109_2401_x9338_y2394,AId,40,40,69.9295,345.0772,19,1.5636,0.0,0,0.4874830340860342
6,17109_2401_x9954_y9122,AId,48,48,90.3288,452.5357,22,2.0832,0.0,0,0.4239673218633669
7,17109_2601_x9498_y8169,AId,40,40,84.1568,673.5309,18,1.8323,0.0,0,0.4147494187374402
8,17782_3138_x32805_y18352,AId,64,64,141.1154,1285.4568,30,1.7315,0.0,1,0.42588030459796683
9,17782_3253_x33739_y18314,AId,67,67,89.2484,527.4028,31,0.5106,0.0,1,0.4407627362747052
10,182724_2525_x8483_y21088,AId,63,63,149.7684,931.3018,27,0.9966,0.0,1,0.40577224270373663
11,182725_2917_x9391_y22263,AId,69,69,195.7467,1768.2914,31,1.384,0.0,1,0.41946569427243063
12,191807_2469_x5431_y10056,AId,83,83,174.3523,1234.4879,38,1.682,0.0,1,0.406439398156837
13,236174_2657_x11930_y12250,AId,35,35,66.5659,207.5013,16,1.4161,0.0,0,0.5907262862926059
14,236174_2669_x10674_y13239,AId,73,73,149.1848,1290.9887,35,0.6148,0.0,1,0.521794288338443
15,236174_2801_x11376_y11451,AId,61,61,118.1295,464.2575,29,2.6777,0.0,1,0.5486285017427335
16,236174_3001_x12887_y24248,AId,104,104,217.3886,1816.4191,51,1.3977,0.0,1,0.5229431732197721
17,236174_3215_x11999_y11133,AId,58,58,100.999,689.8882,27,1.0009,0.0,1,0.41648016822789535
18,236174_3229_x11884_y10380,AId,59,59,80.6454,323.9895,28,0.8032,0.0,1,0.4507008848871368
19,236174_3729_x15151_y26698,AId,93,93,118.4915,368.6245,45,1.424,0.0,1,0.44037028732829386
20,236174_3929_x12721_y8845,AId,47,47,59.2543,360.5687,21,0.8621,0.0,0,0.4160271382176763
21,17109_2201_x8046_y23301,MOs,63,63,85.1117,322.4587,30,1.3844,0.0,1,0.39933945972414836
22,18047_2622_x11862_y12983,MOs,38,38,116.1372,4560.7757,17,3.5262,0.0,0,0.39713587469495587
23,18047_3132_x24052_y12385,MOs,29,29,126.1192,9130.5528,12,3.6505,0.0,0,0.3944367633466034
24,18047_4141_x14168_y9063,MOs,57,57,146.4864,1175.9129,24,0.732,0.0,1,0.3821910481103517
25,182724_2238_x7096_y20268,MOs,35,35,100.3045,1105.812,15,2.3303,0.0,0,0.5070001325598413
26,182724_2247_x6785_y11803,MOs,50,50,142.8072,1134.0962,21,0.7679,0.0,0,0.41050488254012274
27,182724_2333_x7081_y21185,MOs,48,48,149.9362,1517.6077,20,0.8186,0.0,0,0.4367808209876511
28,182724_2494_x6419_y20983,MOs,64,64,187.4291,1567.3893,29,0.783,0.0,1,0.4288809112980128
29,182724_2526_x7529_y21792,MOs,48,48,143.1734,1324.6019,20,1.1737,0.0,0,0.4021300428465922
30,182724_2670_x5615_y13225,MOs,60,60,153.6984,1099.407,27,0.8789,0.0,1,0.43909590433263085
31,182724_2926_x5279_y13761,MOs,67,67,159.9555,1200.1775,30,0.509,0.0,1,0.443368491031008
32,182724_2997_x5821_y12613,MOs,30,30,144.1722,6389.4254,13,2.2845,0.0,0,0.37223823018490626
33,182725_2241_x9113_y11193,MOs,65,65,162.2654,1499.5717,28,1.0978,0.0,1,0.3839828793093533
34,182725_2390_x8944_y12077,MOs,59,59,150.834,805.3859,26,1.4832,0.0,1,0.4251495182578124
35,18453_1641_x24165_y10580,MOs,54,54,105.6481,523.61,24,0.4304,0.0,1,0.4148243731625166
36,18453_1643_x24077_y11694,MOs,91,91,196.315,1688.8245,44,1.0078,0.0,1,0.47291987103344496
37,18453_1924_x22284_y8069,MOs,60,60,112.094,1566.9885,28,1.1551,0.0,1,0.4663656209466937
38,18453_2190_x23739_y8507,MOs,66,66,155.8429,1302.1802,31,1.0386,0.0,1,0.43979724140829074
39,18453_2400_x15836_y7243,MOs,67,67,122.037,608.7339,31,0.7672,0.0,1,0.4534772545477985
40,18453_2428_x13810_y8197,MOs,40,40,82.3149,922.6304,18,0.5237,0.0,0,0.4499291035308998
41,18453_2632_x11687_y8383,MOs,64,64,142.5991,826.4059,29,1.0126,0.0,1,0.47748783246015014
42,18453_2884_x12998_y7285,MOs,83,83,105.0989,318.0823,39,1.1073,0.0,1,0.4753359286861896
43,18453_2991_x13607_y7348,MOs,58,58,116.1357,2164.8798,25,1.2053,0.0,1,0.40669092627568454
44,18453_3516_x21006_y6048,MOs,87,87,168.5855,827.3055,40,1.2451,0.0,1,0.392251610412371
45,18461_2985_x10744_y3095,MOs,37,37,41.5408,62.5707,17,1.106,0.0,0,0.43934323669231434
46,18470_3582_x22459_y29708,MOs,51,51,111.5965,751.2123,23,1.17,0.0,1,0.4564060624522166
47,18864_1871_x3272_y21319,MOs,34,34,76.7388,377.7223,14,2.2698,0.0,0,0.4684408264054124
48,18864_1917_x3417_y12763,MOs,34,34,102.6299,1165.5263,16,1.6081,0.0,0,0.4510174335405605
49,18864_2047_x3016_y12128,MOs,26,26,43.1074,280.7079,11,0.7768,0.0,0,0.42847114260804026
