proj_type,soma_type,median_arbor_num,num_neurons
TH_core,MG,2,50
TH_core,PoT,2,1
TH_core,VPLpc,2,15
TH_core,VPMpc,2,6
TH_core,MD,2,9
TH_core,VAL,2,5
TH_core,SMT,2,13
TH_core,LD,3,10
TH_core,AM,2,5
TH_core,VPM,2,378
TH_core,SGN,1,1
TH_core,VPL,2,80
TH_core,LGd,1,78
Car3,GU,3,6
Car3,SSp,1,1
Car3,AUDp,2,7
Car3,MOs,2,44
Car3,VISC,3,9
Car3,ORBl,4,2
Car3,CLA,2,29
Car3,VISl,2,6
Car3,AUDd,1,3
Car3,ECT,2,4
Car3,VISal,2,8
Car3,VISrl,2,10
Car3,SSp-m,2,84
Car3,EPd,3,6
Car3,SSp-bfd,2,58
Car3,AId,2,21
Car3,AIp,3,2
Car3,TEa,2,9
Car3,MOp,2,58
Car3,SSs,2,67
Car3,AUDv,2,7
Car3,VISp,2,32
Car3,AUDpo,1,1
TH_matrix,LP,1,16
TH_matrix,IAD,2,2
TH_matrix,CM,1,3
TH_matrix,PO,2,7
TH_matrix,MD,2,9
TH_matrix,VM,3,12
TH_matrix,PVT,2,3
TH_matrix,RE,2,8
TH_matrix,LD,3,10
CP_GPe,CP,2,312
CP_others,CP,2,312
CP_SNr,CP,2,312
CTX_ET,GU,3,6
CTX_ET,VISpm,4,2
CTX_ET,ENTl,3,2
CTX_ET,ORBvl,3,4
CTX_ET,MOs,2,44
CTX_ET,AIv,4,2
CTX_ET,VISC,3,9
CTX_ET,ORBl,4,2
CTX_ET,VISli,4,2
CTX_ET,SSp-ll,3,16
CTX_ET,RSPagl,2,6
CTX_ET,VISrl,2,10
CTX_ET,SSp-ul,3,32
CTX_ET,SSp-m,2,84
CTX_ET,SSp-bfd,2,58
CTX_ET,VISa,1,3
CTX_ET,SSp-un,2,11
CTX_ET,RSPv,3,28
CTX_ET,AId,2,21
CTX_ET,MOp,2,58
CTX_ET,SSs,2,67
CTX_ET,AUDv,2,7
CTX_ET,RSPd,4,4
CTX_ET,ORBm,2,1
CTX_ET,ACAv,3,2
CTX_ET,SSp-n,2,27
CTX_ET,VISp,2,32
CTX_IT,SSp-tr,2,4
CTX_IT,VISpm,4,2
CTX_IT,AUDp,2,7
CTX_IT,ENTl,3,2
CTX_IT,MOs,2,44
CTX_IT,AIv,4,2
CTX_IT,VISC,3,9
CTX_IT,VISl,2,6
CTX_IT,VISli,4,2
CTX_IT,AUDd,1,3
CTX_IT,SSp-ll,3,16
CTX_IT,RSPagl,2,6
CTX_IT,VISal,2,8
CTX_IT,VISrl,2,10
CTX_IT,SSp-ul,3,32
CTX_IT,FRP,3,1
CTX_IT,VISpor,1,2
CTX_IT,SSp-m,2,84
CTX_IT,SSp-bfd,2,58
CTX_IT,VISa,1,3
CTX_IT,SSp-un,2,11
CTX_IT,VISam,2,4
CTX_IT,RSPv,3,28
CTX_IT,TEa,2,9
CTX_IT,MOp,2,58
CTX_IT,SSs,2,67
CTX_IT,AUDv,2,7
CTX_IT,ENTm,2,1
CTX_IT,RSPd,4,4
CTX_IT,SSp-n,2,27
CTX_IT,ACAv,3,2
CTX_IT,VISp,2,32
