name,withbbr,nobbr,axonal_tip_brs,axonal_tip_wb_brs,axonal_bif_brs,axonal_bif_wb_brs,bnums,withb_br_len,nob_br_len,w_br_tor,n_br_tor,withbbif,nobbif,withb_br_angle,nob_br_angle,withb_br_rangle,nob_br_rangle,soma_region,brain_region
17545_00173,193,49,116,102,126,91,7.844559585492228,127.75142611398964,182.9217023469388,0.17395483703703707,0.17184458823529403,91,35,57.56748054945056,63.905861428571434,59.79526582417582,71.6214342857143,LGd,TH
17545_00172,180,37,85,78,132,102,4.427777777777778,77.0486295,205.094789,0.18667474509803939,0.19540650000000004,102,30,64.14176558823529,57.86988066666667,64.24762970588236,55.344766666666665,VPM,TH
18454_00166,183,86,111,99,158,84,4.087431693989071,94.34623797814209,124.4336423255814,0.10431747619047615,0.12820774074074082,84,74,89.17436666666667,81.89316554054054,78.73454523809524,76.84781405405406,VPL,TH
pre_17543_01276,62,20,41,29,41,33,5.161290322580645,317.03663145161295,332.7130665,0.1811794909090909,0.1837773076923076,33,8,69.68168484848484,84.018745,70.88402121212123,77.67236249999999,error,Other
18864_3494_x2380_y13749,281,72,176,140,177,141,6.00355871886121,251.28151739857648,214.99845194444444,0.19867082894736832,0.12207454545454521,141,36,69.19613299219859,66.2687963888889,74.58612000000001,72.57485277777778,MOp,CTX
18454_00167,208,75,108,99,175,109,4.019230769230769,91.15270995192307,153.8371672,0.11502788034188038,0.12660161538461545,109,66,71.62999227155963,77.19998803030303,59.13166412844036,77.59794696969698,VPL,TH
18869_4282_x22276_y6457,168,75,115,92,128,76,3.1845238095238093,101.90137410714286,205.45203070666668,0.21158446153846155,0.18085914285714288,76,52,78.68214355263157,82.69471557692307,68.61299381578948,78.62813115384616,SSp-n,CTX
18455_3718_x10944_y12140,120,41,76,63,85,57,2.783333333333333,85.010176,133.6114763414634,0.2068572033898306,0.1253573684210526,57,28,80.2004642105263,67.67591964285715,66.94750280701754,46.33549178571428,CP,CNU
18457_00148,185,58,114,99,129,86,4.578378378378378,106.54510378378379,83.75685993103448,0.15544449557522133,0.16409000000000018,86,43,72.9241030232558,78.23659399302325,62.86240872093023,75.9433718604651,VPM,TH
18454_01052,25,22,20,16,27,9,4.52,146.233116,256.0334172727273,0.17472700000000008,0.10852968749999992,9,18,77.11818822222223,61.858861111111096,64.11364444444445,58.52671111111111,VPM,TH
18868_2593_x15801_y13755,249,42,144,134,147,115,4.839357429718875,104.38559212851405,547.9038974047619,0.19399285365853658,0.1638964827586208,115,32,72.89113600000002,69.08051093750001,73.591488,67.75235781250001,ORBvl,CTX
