S1,S2,S3,S4,tip_br,total,order,dist2soma,contraction,length
0,0,9,19,0,28,5,26.6245,0.689926,1065.2
1,0,0,0,0,1,6,1091.83,0.933038,24.6344
0,0,0,1,0,1,6,1091.83,0.938495,56.9513
0,0,1,0,0,1,7,1116.46,0.959718,14.5405
1,0,0,0,0,1,7,1148.78,0.940805,58.1696
1,0,0,0,1,1,7,1148.78,0.964613,11.9846
1,0,0,0,1,1,8,1131,0.908501,11.9914
1,2,1,1,0,5,8,1131,0.956599,110.955
0,0,0,1,0,1,8,1206.95,0.924738,67.3466
0,1,0,2,1,3,9,1241.96,0.926775,59.4814
2,0,1,3,0,6,9,1241.96,0.91417,145.756
1,0,0,0,0,1,9,9537.58,0.887133,94.8272
2,1,1,0,1,4,9,1207.91,0.927567,76.3569
0,0,1,0,0,1,9,1274.3,0.879886,12.8153
1,0,1,0,1,2,9,1274.3,0.828096,37.7961
1,1,1,0,0,3,10,1387.71,0.897909,40.148
1,1,0,1,1,3,10,1387.71,0.896532,54.0622
1,0,0,0,1,1,10,9459.44,0.851193,6.18888
0,1,1,1,0,3,10,9480.7,0.81621,176.654
2,1,1,0,0,4,10,9480.7,0.676865,299.177
0,0,1,0,0,1,10,9700.93,0.451512,42.4681
0,1,1,0,0,2,10,9632.41,0.910896,35.2833
3,3,2,1,1,9,10,9632.41,0.832979,305.521
1,0,0,1,1,2,10,1217.24,0.99492,33.8005
1,0,0,1,0,2,10,1217.24,0.956853,51.4882
1,0,0,0,1,1,10,1287.11,0.974514,13.6472
2,0,0,0,1,2,10,1287.11,0.976024,134.653
0,0,1,0,1,1,11,1427.86,0.896872,21.7015
1,0,0,0,1,1,11,1427.86,0.860352,36.7379
0,0,1,1,0,2,11,9542.82,0.679523,89.355
1,1,1,1,0,4,11,9657.35,0.900631,53.9164
1,1,0,2,0,4,11,9779.87,0.931516,96.734
4,2,1,6,1,13,11,9779.87,0.921872,238.194
2,1,2,0,0,5,11,9743.4,0.848082,92.8958
2,0,0,3,1,5,11,9743.4,0.611145,136.385
0,0,1,0,0,1,11,9746.91,0.921134,16.3466
1,0,0,1,1,2,11,9667.69,0.969161,36.4021
4,4,2,0,1,10,11,9667.69,0.894469,188.716
1,0,0,0,1,1,11,1268.73,0.960521,9.79689
2,3,1,1,1,7,11,1268.73,0.949201,188.89
0,1,0,0,0,1,12,9632.17,0.767769,21.9794
1,0,1,0,0,2,12,9649.27,0.981361,28.5704
0,0,1,0,0,1,12,9649.27,0.944207,59.0047
0,0,0,1,0,1,12,9711.27,0.984445,6.65119
0,0,0,1,0,1,12,9711.27,0.961757,61.8513
2,2,3,3,1,10,12,9876.61,0.792831,227.09
2,1,1,2,1,6,12,9836.3,0.898011,88.3753
1,1,0,1,0,3,12,9763.25,0.929779,67.1592
1,0,0,0,0,1,12,9789.11,0.974532,4.36566
0,0,0,2,0,2,13,9654.15,0.718456,132.01
1,2,2,0,0,5,13,9700.17,0.838164,106.844
1,0,0,1,0,2,13,9677.84,0.986282,35.7366
2,0,0,1,0,3,13,9677.84,0.864287,147.287
1,0,0,1,1,2,13,9708.27,0.991677,66.7333
0,1,1,1,0,3,13,9708.27,0.974808,80.7814
1,1,1,1,0,4,13,9717.92,0.947727,33.6494
2,0,0,1,1,3,13,9717.92,0.870725,121.816
1,1,1,0,1,3,13,9773.12,0.911802,49.5496
3,1,2,1,1,7,13,9773.12,0.848389,165.871
0,1,1,0,0,2,13,9944.07,0.867645,41.9465
1,1,0,0,0,2,13,9768.08,0.971166,38.6435
