name,P1,P2,P3,P4,soma_region,brain_region
17782_3487_x11014_y17041,0.09453302961275627,0.3080865603644647,0.48348519362186787,0.11389521640091116,CLA,CTX
18457_00040,0.31543624161073824,0.06879194630872483,0.3338926174496644,0.28187919463087246,CP,CNU
18461_6043_x11080_y1667,0.5409252669039146,0.20427046263345194,0.09181494661921709,0.16298932384341638,VISa,CTX
18869_4764_x5211_y5995,0.39215686274509803,0.226890756302521,0.16246498599439776,0.2184873949579832,SSs,CTX
236174_4229_x13663_y8589,0.0054626152270399455,0.04233526800955958,0.6241037896893138,0.3280983270740867,CLA,CTX
18869_4848_x18620_y8132,0.1322314049586777,0.27844882390336934,0.3502860775588048,0.23903369357914814,RT,TH
18868_4757_x15158_y16995,0.0,0.4073291050035236,0.41296687808315713,0.17970401691331925,RT,TH
pre_18454_00377,0.704527402700556,0.09451945988880063,0.0,0.20095313741064336,AId,CTX
18869_4091_x4807_y8065,0.3689922480620155,0.44031007751937984,0.07286821705426356,0.11782945736434108,SSs,CTX
17302_00101,0.5819397993311036,0.3102006688963211,0.01839464882943144,0.08946488294314381,CP,CNU
17787_4521_x5172_y12873,0.6538966725043783,0.06260945709281962,0.07596322241681261,0.2075306479859895,SSs,CTX
17545_00119,0.42900302114803623,0.054380664652567974,0.06042296072507553,0.4561933534743202,CP,CNU
18868_4523_x15124_y15767,0.01674418604651163,0.45488372093023255,0.32,0.20837209302325582,RT,TH
18864_1917_x3417_y12763,0.24501845018450186,0.11808118081180811,0.48966789667896676,0.14723247232472325,MOs,CTX
18454_00126,0.0,0.004407227853680035,0.5711767298369326,0.4244160423093874,LP,TH
236174_5670_x14073_y29439,0.21385376580538756,0.24299065420560748,0.4315557998900495,0.11159978009895546,SSs,CTX
182725_3680_x13452_y7614,0.3953771289537713,0.13422546634225466,0.13381995133819952,0.33657745336577455,GU,CTX
17781_5894_x11460_y10079,0.32458333333333333,0.625,0.034583333333333334,0.015833333333333335,AUDp,CTX
17302_00044,0.7381242387332522,0.1814859926918392,0.04811205846528624,0.03227771010962241,CP,CNU
18867_7541_x13210_y4462,0.1577708006279435,0.3194662480376766,0.23626373626373626,0.28649921507064363,VISp,CTX
18462_00027,0.023166023166023165,0.0,0.5621621621621622,0.4146718146718147,VPL,TH
18454_00063,0.0,0.03413173652694611,0.118562874251497,0.8473053892215568,MG,TH
182724_4472_x5247_y12162,0.6067864271457086,0.15469061876247506,0.18962075848303392,0.04890219560878244,MOp,CTX
18869_3857_x22137_y7268,0.22029988465974626,0.3615916955017301,0.157439446366782,0.2606689734717416,SSp-m,CTX
18457_00017,0.0476878612716763,0.0,0.0,0.9523121387283237,VPM,TH
18457_00152,0.05211141060197664,0.0,0.07906558849955077,0.8688230008984726,VPM,TH
18867_5665_x20882_y6561,0.26106800547695114,0.08900045641259699,0.35052487448653585,0.29940666362391605,RSPv,CTX
182725_6819_x6109_y7853,0.41615384615384615,0.11846153846153847,0.1,0.36538461538461536,VISp,CTX
18453_6500_x34303_y12884,0.6945668135095447,0.2555066079295154,0.038913362701908955,0.011013215859030838,TEa,CTX
18453_2713_x27713_y9899,0.7129210658622424,0.16691804927099044,0.05731523378582202,0.0628456510809452,MOp,CTX
18465_00305,0.03360687768659633,0.10941774130519734,0.141852286049238,0.7151230949589683,VPL,TH
18454_00171,0.0,0.022003034901365705,0.17602427921092564,0.8019726858877086,MG,TH
18463_00034,0.059880239520958084,0.0,0.043912175648702596,0.8962075848303394,VPL,TH
18453_5862_x33046_y12305,0.45157657657657657,0.30123873873873874,0.1356981981981982,0.11148648648648649,AUDv,CTX
18869_5108_x7688_y4065,0.4229787234042553,0.04085106382978723,0.40425531914893614,0.13191489361702127,SSp-bfd,CTX
17302_00013,0.12633451957295375,0.0,0.19217081850533807,0.6814946619217082,CP,CNU
