name,avg_pbnum_ratios,no_child_br_wb_ratio,one_child_br_wb_ratio,two_child_br_wb_ratio,soma_region,brain_region
17545_00173,2.676534643037911,0.02857142857142857,0.2,0.7714285714285715,LGd,TH
17545_00172,2.376360875966139,0.008620689655172414,0.13793103448275862,0.853448275862069,VPM,TH
18454_00166,2.3314738234475074,0.00847457627118644,0.15254237288135594,0.8389830508474576,VPL,TH
pre_17543_01276,2.9907974300831444,0.1111111111111111,0.2222222222222222,0.6666666666666666,error,Other
18864_3494_x2380_y13749,2.474388537346203,0.0457516339869281,0.23529411764705882,0.7189542483660131,MOp,CTX
18454_00167,1.6521190162494512,0.02459016393442623,0.1557377049180328,0.819672131147541,VPL,TH
18869_4282_x22276_y6457,1.7870225694444446,0.06451612903225806,0.25806451612903225,0.6774193548387096,SSp-n,CTX
18455_3718_x10944_y12140,1.7040784832451499,0.0,0.2564102564102564,0.7435897435897436,CP,CNU
18457_00148,2.2400504821488143,0.05102040816326531,0.20408163265306123,0.7448979591836735,VPM,TH
18454_01052,3.954761904761905,0.09090909090909091,0.18181818181818182,0.7272727272727273,VPM,TH
18868_2593_x15801_y13755,2.1010602525815507,0.0070921985815602835,0.1347517730496454,0.8581560283687943,ORBvl,CTX
18868_6757_x10353_y4324,1.8608794641850501,0.022653721682847898,0.22006472491909385,0.7572815533980582,VISp,CTX
18458_00075,2.253789945370107,0.07906976744186046,0.2372093023255814,0.6837209302325581,LD,TH
18454_01053,3.0217395432749368,0.06382978723404255,0.22340425531914893,0.7127659574468085,VPM,TH
18462_00038,1.9338540817989247,0.017543859649122806,0.40350877192982454,0.5789473684210527,CP,CNU
191812_3915_x8011_y24180,2.7808017099610063,0.08208955223880597,0.43283582089552236,0.48507462686567165,SSp-m,CTX
191812_5158_x9017_y25877,3.453333333333334,0.16666666666666666,0.5666666666666667,0.26666666666666666,SSs,CTX
18458_00280,2.0371252204585537,0.03361344537815126,0.21008403361344538,0.7563025210084033,VPM,TH
236174_3529_x13688_y26111,2.7524790337578677,0.05521472392638037,0.22699386503067484,0.7177914110429447,GU,CTX
236174_4229_x13663_y8589,2.7382798082417215,0.05454545454545454,0.19090909090909092,0.7545454545454545,CLA,CTX
17109_1901_x9602_y10508,1.1269097222222222,0.30952380952380953,0.42857142857142855,0.2619047619047619,AId,CTX
18458_00281,2.0682492810644075,0.02912621359223301,0.20388349514563106,0.7669902912621359,VPM,TH
pre_18864_00225,2.106483061691668,0.028985507246376812,0.18115942028985507,0.7898550724637681,VISC,CTX
18455_00145,2.0032768265326406,0.017699115044247787,0.26548672566371684,0.7168141592920354,VPM,TH
pre_18864_00043,2.0539339941561248,0.02197802197802198,0.17582417582417584,0.8021978021978022,MOp,CTX
18457_00041,1.5230335454019663,0.0410958904109589,0.2054794520547945,0.7534246575342466,CP,CNU
18455_00144,2.3559273919122403,0.028169014084507043,0.28169014084507044,0.6901408450704225,VPM,TH
pre_18864_00042,2.0168226608165565,0.022058823529411766,0.19852941176470587,0.7794117647058824,RSPagl,CTX
18457_00040,1.4659473242806573,0.04032258064516129,0.20161290322580644,0.7580645161290323,CP,CNU
18868_4693_x13797_y16937,2.273633146129048,0.029411764705882353,0.14705882352941177,0.8235294117647058,RT,TH
18463_00052,1.8765878026294693,0.021739130434782608,0.17391304347826086,0.8043478260869565,VPL,TH
18869_5237_x7485_y4162,1.748881754316537,0.021505376344086023,0.13978494623655913,0.8387096774193549,SSp-bfd,CTX
18868_6000_x19811_y5444,1.813482998568244,0.09047619047619047,0.2619047619047619,0.6476190476190476,RSPv,CTX
18868_5965_x17541_y6435,1.9875979010924845,0.011730205278592375,0.16129032258064516,0.8269794721407625,RSPv,CTX
18455_00004,2.131997053872054,0.016129032258064516,0.12903225806451613,0.8548387096774194,CP,CNU
18455_00262,2.146816770186335,0.029411764705882353,0.22058823529411764,0.75,VPM,TH
18047_3132_x24052_y12385,1.723639455782313,0.28,0.36,0.36,MOs,CTX
18868_3799_x26336_y7466,1.580274859570341,0.03409090909090909,0.1590909090909091,0.8068181818181818,SSp-ul,CTX
18457_00101,2.021944862351129,0.0694980694980695,0.24324324324324326,0.6872586872586872,VPM,TH
18455_00263,2.0377217553688145,0.040268456375838924,0.18791946308724833,0.7718120805369127,VPM,TH
182724_4785_x5002_y11122,2.0980862240572016,0.02830188679245283,0.19811320754716982,0.7735849056603774,SSp-ll,CTX
18455_00005,1.465527738255011,0.033707865168539325,0.2247191011235955,0.7415730337078652,CP,CNU
18464_00010,1.1645366479925303,0.031914893617021274,0.2978723404255319,0.6702127659574468,CP,CNU
pre_18864_00457,2.2899619982028234,0.031578947368421054,0.12631578947368421,0.8421052631578947,RSPagl,CTX
pre_18864_00098,1.870710194334144,0.012121212121212121,0.1393939393939394,0.8484848484848485,VISp,CTX
18868_3626_x29809_y12585,2.555061872615064,0.025,0.1875,0.7875,SSs,CTX
18464_00082,1.133254624163715,0.04716981132075472,0.29245283018867924,0.660377358490566,CP,CNU
17302_00025,2.374828760320017,0.07281553398058252,0.2524271844660194,0.6747572815533981,MD,TH
18454_01113,2.0442002442002436,0.04918032786885246,0.2786885245901639,0.6721311475409836,VPM,TH
18458_00353,1.3373015873015874,0.023076923076923078,0.24615384615384617,0.7307692307692307,CP,CNU
17302_00024,2.1090081291507974,0.02040816326530612,0.2857142857142857,0.6938775510204082,PVT,TH
18864_3772_x5344_y6871,2.1919884290538625,0.00909090909090909,0.09090909090909091,0.9,SSp-m,CTX
18454_01112,2.4007716049382712,0.017857142857142856,0.14285714285714285,0.8392857142857143,VPM,TH
18457_00008,1.5031118818050635,0.05128205128205128,0.2564102564102564,0.6923076923076923,CP,CNU
18465_00033,1.29241477562685,0.09259259259259259,0.1111111111111111,0.7962962962962963,CP,CNU
236174_3229_x11884_y10380,3.4300267404664946,0.03431372549019608,0.25980392156862747,0.7058823529411765,AId,CTX
18457_00009,2.6163797655465095,0.019455252918287938,0.27626459143968873,0.7042801556420234,LD,TH
18465_00032,1.51027651027651,0.0196078431372549,0.23529411764705882,0.7450980392156863,CP,CNU
18454_00027,2.651116789956076,0.02702702702702703,0.22972972972972974,0.7432432432432432,CP,CNU
18454_01089,1.9760067340067342,0.027777777777777776,0.19444444444444445,0.7777777777777778,VPM,TH
18464_00119,2.2559751191569375,0.015625,0.16666666666666666,0.8177083333333334,VPM,TH
18867_6985_x12525_y4095,1.9255294853294853,0.033860045146726865,0.18284424379232506,0.7832957110609481,VISp,CTX
18458_00461,1.9302225056689344,0.0205761316872428,0.18106995884773663,0.7983539094650206,VPM,TH
18458_00460,2.757369333175785,0.04040404040404041,0.2727272727272727,0.6868686868686869,VPM,TH
182724_2238_x7096_y20268,1.6562755585058218,0.1317365269461078,0.38323353293413176,0.48502994011976047,MOs,CTX
pre_18464_00159,1.8859164420485175,0.04411764705882353,0.27941176470588236,0.6764705882352942,EPd,CTX
18463_00024,1.5047643926954273,0.09090909090909091,0.3522727272727273,0.5568181818181818,CP,CNU
18453_7146_x8788_y4552,3.120570187357846,0.0,0.1694915254237288,0.8305084745762712,VISp,CTX
17787_00029,1.4797619047619046,0.059602649006622516,0.2847682119205298,0.6556291390728477,CP,CNU
18869_4550_x17965_y4177,1.6428031370339065,0.045454545454545456,0.21212121212121213,0.7424242424242424,SSp-ll,CTX
191812_6351_x5009_y7424,1.6174388674388676,0.2235294117647059,0.4235294117647059,0.35294117647058826,SSp-bfd,CTX
18869_3937_x5000_y8198,1.8833363042186573,0.03968253968253968,0.21428571428571427,0.746031746031746,SSp-m,CTX
pre_18864_00174,2.318370431715142,0.03436426116838488,0.15463917525773196,0.8109965635738832,MOp,CTX
18869_4520_x23555_y8194,1.3819114027225727,0.021739130434782608,0.21304347826086956,0.7652173913043478,SSs,CTX
191812_3762_x9097_y24261,2.113767291676029,0.14903846153846154,0.3076923076923077,0.5432692307692307,SSs,CTX
236174_3229_x11951_y11316,3.027134717074697,0.027210884353741496,0.23809523809523808,0.7346938775510204,CLA,CTX
18454_00158,2.94838543239706,0.058394160583941604,0.21897810218978103,0.7226277372262774,VPM,TH
18867_3801_x9223_y10977,2.0628840245775732,0.08,0.19,0.73,SSp-m,CTX
pre_18864_00420,2.952185962515,0.012658227848101266,0.1940928270042194,0.7932489451476793,ORBl,CTX
18454_00159,2.506992498595552,0.024096385542168676,0.18674698795180722,0.7891566265060241,VPM,TH
17543_5296_x5131_y20385,1.786949736087667,0.08139534883720931,0.26744186046511625,0.6511627906976745,VISal,CTX
17302_00052,2.835622061630126,0.03488372093023256,0.1744186046511628,0.7906976744186046,MG,TH
18868_3228_x28576_y10788,1.7986718520736946,0.049586776859504134,0.14049586776859505,0.8099173553719008,SSp-m,CTX
17302_00053,2.2269480278175933,0.043478260869565216,0.2111801242236025,0.7453416149068323,VPM,TH
18465_00044,1.2071181904515236,0.02586206896551724,0.2672413793103448,0.7068965517241379,CP,CNU
18465_00045,1.3520544733044733,0.030303030303030304,0.18181818181818182,0.7878787878787878,CP,CNU
18868_4047_x27203_y7787,2.541669566545106,0.022988505747126436,0.16091954022988506,0.8160919540229885,SSp-ul,CTX
18454_00050,1.8269857925405153,0.14,0.32,0.54,MD,TH
18454_00051,2.3692064334236194,0.024390243902439025,0.23577235772357724,0.7398373983739838,VAL,TH
17545_00045,0.8553921568627452,0.04,0.32,0.64,CP,CNU
18462_00007,2.073775604826217,0.04838709677419355,0.16129032258064516,0.7903225806451613,CP,CNU
17545_00044,2.519034225954647,0.01639344262295082,0.22131147540983606,0.7622950819672131,CP,CNU
18453_3564_x30226_y9677,1.9332303308871377,0.012578616352201259,0.2578616352201258,0.7295597484276729,SSp-m,CTX
18868_3922_x26631_y7518,2.461534125094392,0.032520325203252036,0.2032520325203252,0.7642276422764228,SSp-ul,CTX
18864_00002,2.415532879818594,0.2564102564102564,0.2564102564102564,0.48717948717948717,SSp-bfd,CTX
191812_3727_x4996_y18685,2.443093413205551,0.1927710843373494,0.25301204819277107,0.5542168674698795,MOs,CTX
18454_00111,1.328030303030303,0.02564102564102564,0.23076923076923078,0.7435897435897436,CP,CNU
18864_4420_x4377_y8261,2.2835722114551467,0.007936507936507936,0.10317460317460317,0.8888888888888888,SSp-ul,CTX
17302_00113,2.632015422317146,0.04487179487179487,0.20512820512820512,0.75,VPM,TH
17302_00112,3.0369363760422585,0.033112582781456956,0.1986754966887417,0.7682119205298014,VPM,TH
18458_00264,2.5531681251648783,0.02127659574468085,0.24468085106382978,0.7340425531914894,LGd,TH
18461_7132_x6338_y3287,1.4747967479674797,0.12162162162162163,0.3783783783783784,0.5,VISrl,CTX
18869_4181_x21056_y5611,2.339376989692558,0.02197802197802198,0.24175824175824176,0.7362637362637363,SSp-m,CTX
18869_4253_x4991_y7023,1.7902869533805041,0.0,0.1926605504587156,0.8073394495412844,SSs,CTX
182724_4580_x5627_y9427,1.8781425973844008,0.018518518518518517,0.19753086419753085,0.7839506172839507,SSp-un,CTX
18454_00018,1.6159002105453513,0.01639344262295082,0.2459016393442623,0.7377049180327869,CP,CNU
18869_3482_x7077_y5660,3.2007529823523613,0.041666666666666664,0.2708333333333333,0.6875,SSp-m,CTX
18464_00127,2.3113801193232635,0.029411764705882353,0.2107843137254902,0.7598039215686274,VPM,TH
pre_18464_00182,1.3569444444444447,0.04854368932038835,0.3106796116504854,0.6407766990291263,OT,CNU
18453_5343_x23330_y3366,2.8399344744251476,0.01694915254237288,0.16101694915254236,0.8220338983050848,RSPagl,CTX
18457_00036,1.363463467426882,0.07142857142857142,0.17346938775510204,0.7551020408163265,CP,CNU
18455_00132,2.4378253045404206,0.018518518518518517,0.2361111111111111,0.7453703703703703,SMT,TH
191801_3966_x14363_y10542,1.6922799422799422,0.023255813953488372,0.3023255813953488,0.6744186046511628,OT,CNU
18457_00037,1.1337684069611782,0.038834951456310676,0.2524271844660194,0.7087378640776699,CP,CNU
18455_00133,3.387831957211277,0.014218009478672985,0.20853080568720378,0.7772511848341233,SMT,TH
17781_00001,1.944878393831767,0.07407407407407407,0.31275720164609055,0.6131687242798354,EPd,CTX
18464_00112,1.0294474393530997,0.031746031746031744,0.23809523809523808,0.7301587301587301,SI,CNU
