id,parent_id,x,y,z,type,level,dist2soma,path_dist2soma,angle,angle_remote,angle_io1,angle_io1_remote,angle_io2,angle_io2_remote,radius,lcradius,rcradius,length,pathlength,contraction,lclength,lcpathlength,rclength,rcpathlength,width,height,depth,lslength,lspathlength,rslength,rspathlength,lstips,rstips,bnum,pbnum,lcbnum,rcbnum,dist2nb,neigborbs,interb_dist,uniform_bdist
1,-1,10728,8145.98,6062,3,1,0,9.74153,46.729,86.0897,118.546,96.4027,140.046,129.258,10.25,2.625,3.625,9.28362,9.74153,0.952994,10.3284,10.5203,17.7665,18.2472,8,17.0239,4,353.41,404.132,218.353,265.555,6,3,0,0,0,0,0,0,0,0
2,-1,10728,8145.98,6062,3,1,0,15.8197,74.702,80.5251,157.727,147.093,127.571,132.259,13.75,8.5,1.5,15.481,15.8197,0.978586,7.69052,7.70187,7.79749,7.86333,46.0156,4.92822,2,20821.8,23658.2,131.473,159.858,204,4,0,0,0,0,0,0,0,0
3,-1,10728,8145.98,6062,3,1,0,15.8772,62.4723,60.3126,169.87,138.145,123.332,161.513,5.5,4,1.5,15.1956,15.8772,0.957071,4.0564,4.15029,14.5204,15.1226,48,6.72021,3.27979,1002.7,1185.32,327.299,371.782,11,3,0,0,0,0,0,0,0,0
4,1,10736,8128.96,6066,3,2,19.2306,20.2619,73.2406,76.2411,131.255,115.429,148.657,129.283,2.625,1.625,2.625,10.3284,10.5203,0.981751,8.63883,9.06625,18.5043,19.7429,6.01562,1.72803,11.8721,208.214,238.148,162.011,184.274,4,2,0,0,0,0,0,0,0,0
5,1,10736,8128.96,6066,3,2,19.2306,27.9887,105.803,80.3598,92.9981,112.227,160.981,158.064,3.625,3.375,1,17.7665,18.2472,0.973658,7.19943,7.58524,90.6018,98.8587,28.0322,6.5918,15.7759,117.184,156.034,90.6018,98.8587,2,1,0,0,0,0,0,0,0,0
6,2,10682,8150.91,6060,3,2,46.322,23.5216,45.5129,25.1106,179.419,175.177,135.068,150.091,8.5,4.875,1,7.69052,7.70187,0.998526,0.886446,0.886446,103.672,109.901,16,12.9277,0,20711.3,23541.4,103.672,109.901,203,1,0,0,0,0,0,0,0,0
7,2,10682,8150.91,6060,3,2,46.322,23.683,81.6666,94.4517,173.807,102.124,104.15,160.102,1.5,2.375,0.75,7.79749,7.86333,0.991627,15.3416,18.3664,66.6151,81.9514,19.9043,17.6641,0.0639648,119.461,150.555,86.1714,101.758,2,2,0,0,0,0,0,0,0,0
8,3,10776,8152.7,6065.28,3,2,48.579,20.0275,58.5849,38.0342,165.905,169.725,129.017,152.058,4,4.25,3.125,4.0564,4.15029,0.977377,10.9368,11.4525,9.43878,9.7835,9.47168,11.2637,1.2002,691.448,818.379,327.575,384.023,6,5,0,0,0,0,0,0,0,0
9,3,10776,8152.7,6065.28,3,2,48.579,30.9998,80.5524,73.9079,130.428,140.367,148.743,144.757,1.5,1.25,0.875,14.5204,15.1226,0.960179,3.31187,3.36659,86.1,88.4355,41.4717,7.61621,2.49609,229.991,271.591,86.1,88.4355,2,1,0,0,0,0,0,0,0,0
10,4,10730,8127.23,6077.87,3,3,24.6474,29.3281,133.186,110.651,149.17,153.674,75.541,94.7684,1.625,2.375,0.25,8.63883,9.06625,0.952857,7.4379,7.54086,52.2124,69.3958,10.6885,20.1602,9.52002,154.8,167.227,52.2124,69.3958,3,1,0,0,0,0,0,0,0,0
