Cell name,x_pos,y_pos,z_pos
18455_00041,260.479,140.678,91.778
18464_00010,187.96,142.452,299.988
18867_4922_x30354_y7405,249.176,87.18,95.199
18465_00309,278.224,246.339,112.838
18454_00143,309.042,167.527,153.425
18453_3945_x11262_y6434,203.387,64.108,128.87
18868_2621_x11765_y8944,112.065,111.949,307.971
17302_00031,196.78,171.007,340.092
18458_00488,181.617,196.981,124.916
18454_00166,270.098,189.916,148.806
17787_00019,190.392,152.099,99.668
18457_00027,280.02,136.782,312.625
17302_00033,170.101,173.7,314.283
18867_6014_x17935_y4434,289.765,36.914,250.777
18869_4571_x10055_y8359,239.334,161.285,279.513
18453_6181_x10238_y3690,311.756,39.571,108.089
18464_00191,363.835,140.355,331.051
18462_00061,329.145,161.077,145.342
18455_00045,312.845,132.589,133.529
18867_4052_x9852_y8712,200.145,107.493,360.657
18465_00054,280.517,99.698,293.789
18455_00123,261.317,150.841,291.263
18454_00154,272.434,182.197,168.304
18864_2086_x2903_y21496,98.184,92.543,291.848
17787_00050,189.741,203.714,101.811
18454_00061,280.025,135.256,311.664
18457_00203,274.5,167.128,126.253
18457_00034,146.821,140.315,136.128
18864_00021,209.508,64.426,125.767
18457_00194,279.225,160.178,133.277
17781_5894_x11460_y10079,298.117,124.966,67.712
18867_5319_x14289_y4114,253.038,31.796,300.347
18455_00220,212.834,203.937,107.584
17302_00046,229.211,127.505,334.584
18867_5082_x26232_y14941,259.555,195.04,157.263
18867_3807_x9130_y11820,187.091,155.582,373.843
17109_6301_x4756_y24516,344.562,61.115,343.346
18465_00229,297.168,177.94,315.431
18457_00089,270.411,159.679,311.944
18453_3225_x17398_y19713,161.54,263.908,217.732
18455_00143,281.707,151.466,310.255
18455_00133,257.248,194.532,234.92
18454_00159,284.281,186.194,151.529
17302_00057,188.513,123.562,299.071
18455_00033,179.034,131.677,120.889
18454_00136,282.865,170.777,169.482
17543_5334_x5066_y20381,302.435,65.417,374.098
18457_00064,272.915,143.861,145.824
18047_4458_x18853_y10785,213.139,85.279,211.025
18867_4533_x14227_y15937,234.028,211.308,305.111
18464_00042,280.625,155.802,311.096
18452_4126_x15225_y20986,177.699,288.721,275.66
191812_3163_x6264_y21524,142.59,102.734,332.043
18458_00542,273.121,157.74,147.225
18864_00023,233.809,56.35,113.73
17781_3668_x9453_y17266,191.599,107.376,141.512
17302_00116,300.892,146.226,145.041
18458_00150,277.46,134.587,286.757
236174_3729_x15151_y26698,205.316,190.798,368.922
18463_00032,334.281,163.37,322.863
18465_00312,365.777,154.418,128.039
17302_00059,171.824,136.48,281.697
18454_00054,263.663,191.455,245.674
18454_00161,284.165,191.652,175.689
18864_5099_x6368_y29941,267.935,98.659,399.177
17545_00045,203.37,179.822,355.943
18047_7769_x31046_y13195,377.964,163.096,63.562
18454_00155,277.396,180.597,167.47
18454_00176,261.226,197.025,240.403
17543_4868_x6727_y21047,264.42,109.7,385.825
18455_00023,269.385,137.758,283.253
18458_00584,282.4,182.759,139.937
18453_6477_x30376_y5078,352.826,49.706,356.475
18454_01132,279.063,181.857,308.493
18867_7172_x22280_y4802,347.378,41.222,199.854
17545_00146,197.116,158.075,127.317
pre_18864_00059,188.985,65.34,162.665
17545_00047,183.695,159.737,347.101
18464_00193,336.228,125.349,313.747
18453_6675_x8876_y4461,333.467,56.429,87.836
