,AId,CLA,MOp,MOs,RSPv,SSp-bfd,SSp-ll,SSp-m,SSp-n,SSp-ul,SSp-un,SSs,VISp,VISrl,LGd,MG,SMT,VPL,VPM,LD,LP,VM,RT,ACB,CP,OT
AId,0.5100,0.4800,0.2200,0.2900,0.0700,0.1200,0.1200,0.1300,0.0900,0.1500,0.1700,0.2100,-0.0200,0.1100,-0.0200,-0.0700,-0.1000,-0.1200,-0.1700,0.0200,-0.0100,0.0800,-0.1800,-0.1600,-0.1400,-0.1700
CLA,0.4800,0.6600,0.1600,0.2100,-0.0100,0.0400,0.0600,0.0500,0.0100,0.0900,0.1000,0.1300,-0.1300,0.0400,0.0500,0.0600,-0.1500,-0.0700,-0.1000,0.0500,0.0600,0.1000,-0.1600,-0.1300,-0.1500,-0.1100
MOp,0.2200,0.1600,0.2800,0.3200,0.1900,0.2200,0.2100,0.2500,0.2200,0.2300,0.2500,0.2600,0.2000,0.1800,-0.2200,-0.2200,-0.1800,-0.2500,-0.2700,-0.1300,-0.1600,-0.0600,-0.1800,-0.0600,-0.0000,-0.1100
MOs,0.2900,0.2100,0.3200,0.3900,0.2200,0.2400,0.2400,0.2700,0.2300,0.2800,0.2700,0.2900,0.1700,0.1700,-0.2200,-0.2400,-0.1800,-0.2500,-0.2900,-0.1200,-0.1700,-0.0200,-0.2200,-0.1000,-0.0500,-0.1500
RSPv,0.0700,-0.0100,0.1900,0.2200,0.3200,0.1400,0.1600,0.1200,0.1300,0.1500,0.1400,0.1400,0.1300,0.0400,-0.1200,-0.1000,0.0100,-0.1000,-0.1500,-0.0000,-0.0400,0.1300,-0.1700,-0.1600,-0.0800,-0.1500
SSp-bfd,0.1200,0.0400,0.2200,0.2400,0.1400,0.2500,0.2100,0.2800,0.2600,0.2600,0.2600,0.2300,0.2100,0.2000,-0.2300,-0.2500,-0.2100,-0.2500,-0.2700,-0.1800,-0.2000,-0.1700,-0.1400,0.0500,0.0700,-0.0400
SSp-ll,0.1200,0.0600,0.2100,0.2400,0.1600,0.2100,0.2300,0.2500,0.2200,0.2400,0.2200,0.2100,0.1700,0.1600,-0.1900,-0.2200,-0.1800,-0.2300,-0.2500,-0.1600,-0.1900,-0.1400,-0.1600,0.0200,0.0500,-0.0700
SSp-m,0.1300,0.0500,0.2500,0.2700,0.1200,0.2800,0.2500,0.3600,0.3100,0.3200,0.3000,0.2700,0.2300,0.2400,-0.2700,-0.3200,-0.2600,-0.3100,-0.3300,-0.2200,-0.2500,-0.2200,-0.1500,0.0900,0.1100,-0.0400
SSp-n,0.0900,0.0100,0.2200,0.2300,0.1300,0.2600,0.2200,0.3100,0.3000,0.2700,0.2800,0.2400,0.2400,0.2300,-0.2600,-0.2800,-0.2400,-0.2900,-0.3000,-0.2000,-0.2200,-0.2000,-0.1200,0.0900,0.1100,-0.0200
SSp-ul,0.1500,0.0900,0.2300,0.2800,0.1500,0.2600,0.2400,0.3200,0.2700,0.3600,0.2900,0.2400,0.1500,0.1700,-0.2100,-0.2800,-0.2500,-0.2600,-0.3000,-0.1700,-0.2000,-0.1500,-0.1900,0.0600,0.0700,-0.0700
SSp-un,0.1700,0.1000,0.2500,0.2700,0.1400,0.2600,0.2200,0.3000,0.2800,0.2900,0.3400,0.2600,0.2000,0.2200,-0.2300,-0.2700,-0.2500,-0.2900,-0.3100,-0.1800,-0.2000,-0.1800,-0.1600,0.0700,0.0800,-0.0600
SSs,0.2100,0.1300,0.2600,0.2900,0.1400,0.2300,0.2100,0.2700,0.2400,0.2400,0.2600,0.2900,0.2200,0.2300,-0.2300,-0.2500,-0.1900,-0.2500,-0.2900,-0.1600,-0.1900,-0.1200,-0.1700,-0.0200,0.0300,-0.0900
VISp,-0.0200,-0.1300,0.2000,0.1700,0.1300,0.2100,0.1700,0.2300,0.2400,0.1500,0.2000,0.2200,0.3900,0.2500,-0.3400,-0.2800,-0.2200,-0.2900,-0.2700,-0.2500,-0.2500,-0.2300,-0.0400,0.1000,0.1600,0.0600
VISrl,0.1100,0.0400,0.1800,0.1700,0.0400,0.2000,0.1600,0.2400,0.2300,0.1700,0.2200,0.2300,0.2500,0.3100,-0.2400,-0.2300,-0.1900,-0.2400,-0.2400,-0.2000,-0.2100,-0.2300,-0.0600,0.0700,0.1000,-0.0200
LGd,-0.0200,0.0500,-0.2200,-0.2200,-0.1200,-0.2300,-0.1900,-0.2700,-0.2600,-0.2100,-0.2300,-0.2300,-0.3400,-0.2400,0.5100,0.3300,0.2900,0.3600,0.2900,0.3100,0.3100,0.2200,-0.0100,-0.1600,-0.2000,-0.1000
MG,-0.0700,0.0600,-0.2200,-0.2400,-0.1000,-0.2500,-0.2200,-0.3200,-0.2800,-0.2800,-0.2700,-0.2500,-0.2800,-0.2300,0.3300,0.4200,0.2700,0.3300,0.3500,0.2300,0.2900,0.2400,0.0000,-0.1900,-0.2000,-0.0800
SMT,-0.1000,-0.1500,-0.1800,-0.1800,0.0100,-0.2100,-0.1800,-0.2600,-0.2400,-0.2500,-0.2500,-0.1900,-0.2200,-0.1900,0.2900,0.2700,0.6300,0.3800,0.2900,0.3100,0.3000,0.4500,0.0100,-0.3400,-0.2500,-0.2400
VPL,-0.1200,-0.0700,-0.2500,-0.2500,-0.1000,-0.2500,-0.2300,-0.3100,-0.2900,-0.2600,-0.2900,-0.2500,-0.2900,-0.2400,0.3600,0.3300,0.3800,0.4200,0.3800,0.2700,0.2800,0.3000,0.0600,-0.2500,-0.2400,-0.1100
