name,arbor_id,stype,arbor_order,LD,ptype
18454_01067,0,VPM,0,1,TH_core
18454_01067,1,VPM,1,1,TH_core
18454_00136,0,VPM,1,1,TH_core
18454_00136,1,VPM,0,1,TH_core
18463_00027,0,VPM,1,1,TH_core
18463_00027,1,VPM,0,1,TH_core
18463_00037,0,VPM,0,1,TH_core
18463_00037,1,VPM,1,1,TH_core
18458_00461,0,VPM,0,0,TH_core
18458_00461,1,VPM,1,1,TH_core
18455_5316_x26308_y13288,0,VPM,1,1,TH_core
18455_5316_x26308_y13288,1,VPM,0,1,TH_core
18463_00055,0,VPM,1,1,TH_core
18463_00055,1,VPM,0,1,TH_core
18455_00148,0,VPM,0,0,TH_core
18455_00148,1,VPM,1,1,TH_core
18455_00020,0,VPM,1,1,TH_core
18455_00020,1,VPM,0,0,TH_core
18455_5507_x14812_y14221,0,VPM,1,1,TH_core
18455_5507_x14812_y14221,1,VPM,0,1,TH_core
18454_00154,0,VPM,1,1,TH_core
18454_00154,1,VPM,0,0,TH_core
18454_01005,0,VPM,0,0,TH_core
18454_01005,1,VPM,1,1,TH_core
18454_01015,0,VPM,0,1,TH_core
18454_01015,1,VPM,1,1,TH_core
18462_00059,0,VPM,1,1,TH_core
18462_00059,1,VPM,0,1,TH_core
18457_00145,0,VPM,1,1,TH_core
18457_00145,1,VPM,0,1,TH_core
18458_00269,0,VPM,1,1,TH_core
18458_00269,1,VPM,0,1,TH_core
18455_00263,0,VPM,1,1,TH_core
18455_00263,1,VPM,0,1,TH_core
18465_00083,0,VPM,1,1,TH_core
18465_00083,1,VPM,0,1,TH_core
18465_00142,0,VPM,0,1,TH_core
18465_00142,1,VPM,1,1,TH_core
18454_00061,0,VPM,0,0,TH_core
18454_00061,1,VPM,1,1,TH_core
18454_00071,0,VPM,1,1,TH_core
18454_00071,1,VPM,0,1,TH_core
18454_01120,0,VPM,1,1,TH_core
18454_01120,1,VPM,0,1,TH_core
18462_00014,0,VPM,1,1,TH_core
18462_00014,1,VPM,0,1,TH_core
18465_00234,0,VPM,1,1,TH_core
18465_00234,1,VPM,0,1,TH_core
18454_01048,0,VPM,1,1,TH_core
18454_01048,1,VPM,0,1,TH_core
18457_00118,0,VPM,0,1,TH_core
18457_00118,1,VPM,1,1,TH_core
18457_00012,0,VPM,1,1,TH_core
18457_00012,1,VPM,0,0,TH_core
18464_00044,0,VPM,1,1,TH_core
18464_00044,1,VPM,0,0,TH_core
18455_00201,0,VPM,1,1,TH_core
18455_00201,1,VPM,0,0,TH_core
18457_00024,0,VPM,1,1,TH_core
18457_00024,1,VPM,0,0,TH_core
18462_00040,0,VPM,1,1,TH_core
18462_00040,1,VPM,0,0,TH_core
18457_00056,0,VPM,1,1,TH_core
18457_00056,1,VPM,0,0,TH_core
18454_01106,0,VPM,1,0,TH_core
18454_01106,1,VPM,0,0,TH_core
18457_00046,0,VPM,1,1,TH_core
18457_00046,1,VPM,0,0,TH_core
18454_01116,0,VPM,1,1,TH_core
18454_01116,1,VPM,0,0,TH_core
18455_00255,0,VPM,1,1,TH_core
18455_00255,1,VPM,0,1,TH_core
18454_01023,0,VPM,0,0,TH_core
