name,stems,branches,overall_width,overall_height,overall_depth,overall_volume,total_length,br_length_mean,br_length_std,br_length_min,br_length_max,br_order_mean,br_order_std,br_order_min,br_order_max,br_tortuosity_mean,br_tortuosity_std,br_tortuosity_min,br_tortuosity_max,bif_EucDist2soma_mean,bif_EucDist2soma_std,bif_EucDist2soma_min,bif_EucDist2soma_max,bif_PathDist2soma_mean,bif_PathDist2soma_std,bif_PathDist2soma_min,bif_PathDist2soma_max,asymmetry_mean,asymmetry_std,asymmetry_min,asymmetry_max,ampl_local_mean,ampl_local_std,ampl_local_min,ampl_local_max,ampl_remote_mean,ampl_remote_std,ampl_remote_min,ampl_remote_max,tilt_local_mean,tilt_local_std,tilt_local_min,tilt_local_max,tilt_remote_mean,tilt_remote_std,tilt_remote_min,tilt_remote_max,soma_region
18454_01067,10.0,610.0,3379.6,1656.76,2764.05,15476400000.0,52424.5,85.9418,143.746,1.02059,2810.49,13.5967,7.64126,1.0,35.0,0.112083,0.0870124,3.48863e-05,0.535078,2971.51,1496.37,0.0,4020.59,4512.36,2252.11,9.33162,6678.6,0.723333,0.448098,0.0,1.0,76.072,33.678,1.36285,177.792,67.9615,31.9867,7.55805,174.596,112.76,30.6323,1.9227,173.891,118.285,27.4059,12.3273,164.187,VPM
191801_4228_x15043_y11097,5.0,295.0,953.91,1401.26,533.67,713343000.0,16153.0,54.7561,61.2847,0.301556,527.388,13.339,7.20405,1.0,29.0,0.125879,0.121038,0.0,0.792123,373.133,240.142,0.0,962.09,544.88,326.286,8.41823,1740.36,0.744828,0.437469,0.0,1.0,72.2753,40.6713,1.06973,171.753,72.149,41.6683,4.45915,171.753,106.495,39.0303,1.47952,167.624,110.725,36.1465,5.58877,172.128,OT
18457_00127,6.0,520.0,3013.65,3885.4,4059.88,47538100000.0,63427.9,121.977,254.46,0.404698,3330.02,18.1615,13.4146,1.0,55.0,0.104658,0.104926,0.0,0.697503,2552.69,1392.26,0.0,4523.52,6761.79,3537.05,12.7735,11315.0,0.754864,0.431007,0.0,1.0,82.5709,35.5722,3.36159,176.542,79.8903,40.0771,1.33273,176.069,109.202,31.4502,4.78795,166.254,104.277,35.1523,11.2201,170.623,MG
17302_00015,7.0,229.0,1589.49,1547.01,1210.67,2976990000.0,26880.3,117.381,123.975,1.30145,616.644,10.1266,5.58794,1.0,25.0,0.165675,0.122398,3.83528e-05,0.744559,287.275,362.299,0.0,1501.06,598.92,504.869,5.23893,2302.7,0.693694,0.463049,0.0,1.0,74.1527,33.2581,0.374323,156.773,88.3605,39.1893,11.9054,174.892,115.046,28.8989,41.5983,173.126,94.552,34.9002,10.606,164.44,CP
18465_00005,8.0,620.0,4265.99,2381.37,1798.78,18273600000.0,28720.1,46.3227,105.703,0.532672,2187.86,22.6484,17.4218,1.0,73.0,0.130702,0.107674,0.0,0.563649,2198.16,1647.05,0.0,4439.64,3436.63,2587.83,15.3608,8276.02,0.800654,0.400163,0.0,1.0,84.9079,36.0716,2.68813,163.983,81.0672,36.3482,3.95609,162.836,104.201,32.5126,2.46997,168.512,102.031,33.3014,4.29026,168.797,CP
17302_00005,5.0,261.0,4274.79,1135.28,1529.55,7423030000.0,17468.1,66.9277,138.565,0.662616,1596.42,12.4176,7.49448,1.0,26.0,0.145018,0.104662,0.0,0.57028,2052.37,1866.55,0.0,4245.14,2650.11,2302.05,11.0164,5358.83,0.71875,0.451376,0.0,1.0,82.5154,33.7649,15.9196,168.483,76.6179,36.3075,9.35916,171.798,105.584,32.2096,0.847787,161.167,107.485,31.4276,15.0646,156.071,CP
17781_00003,3.0,817.0,4679.81,4902.97,3544.58,81330300000.0,129777.0,158.846,225.734,0.798091,2016.15,19.0759,9.30734,1.0,43.0,0.154246,0.110338,0.0,0.789239,1094.07,722.149,0.0,2666.71,2433.85,1631.33,16.303,7454.4,0.761671,0.426586,0.0,1.0,77.5925,33.8035,3.15187,167.304,80.7547,36.24,4.06201,175.548,107.014,32.6706,3.84126,170.894,101.609,34.5949,1.50007,169.627,MOp
18465_00015,9.0,427.0,555.8,815.82,728.2,330190000.0,14617.1,34.2321,35.0049,0.723229,180.172,11.8618,7.80226,1.0,31.0,0.1476,0.126512,0.0,0.814275,274.508,316.898,0.0,820.341,526.432,462.737,15.5316,1455.07,0.69378,0.462029,0.0,1.0,82.0514,32.7946,19.1333,168.632,80.1714,35.6483,12.3626,169.91,107.901,30.3601,4.90832,161.228,103.341,34.7005,14.6166,158.41,CP
18457_00241,6.0,590.0,1749.01,2549.3,2802.87,12497300000.0,70543.8,119.566,196.803,0.965536,3211.77,12.7593,7.39841,1.0,33.0,0.102288,0.0781799,0.0,0.74518,1846.39,952.071,0.0,2873.04,5822.19,3025.14,12.9832,8615.38,0.736301,0.441394,0.0,1.0,70.3287,31.8912,1.12178,155.272,59.331,29.4502,2.42514,150.596,120.337,28.5547,18.8953,168.17,126.674,24.6775,39.392,171.248,SGN
191807_5178_x5002_y23078,13.0,1009.0,3863.12,5093.01,4289.86,84402600000.0,108459.0,107.491,201.046,0.677323,3390.12,19.3092,11.1827,1.0,41.0,0.112003,0.0972936,0.0,0.750429,1333.91,1061.44,0.0,5904.33,3502.37,3036.89,15.2305,11935.7,0.7249,0.447014,0.0,1.0,75.9176,30.7743,1.08404,176.999,69.414,35.5315,7.10878,176.44,116.662,26.1204,15.913,175.001,114.416,31.1969,6.22734,170.56,SSp-bfd
18470_4630_x23468_y24795,10.0,848.0,8183.22,7173.7,4440.93,260700000000.0,190796.0,224.996,368.366,1.23074,4038.35,15.8632,7.42822,1.0,31.0,0.146714,0.101784,2.77602e-07,0.661678,2311.6,2151.81,0.0,7656.52,5176.69,4866.73,12.7882,16136.9,0.732697,0.443081,0.0,1.0,75.7717,35.5313,0.366212,171.284,73.1516,36.2798,2.21997,170.259,109.139,33.563,3.12581,173.746,108.305,33.1647,14.3114,175.645,RSPd
18454_00126,6.0,774.0,2185.77,3753.05,3106.19,25481000000.0,73644.4,95.1478,134.749,0.942495,1875.64,17.6434,7.88218,1.0,39.0,0.0854363,0.0722703,0.0,0.552947,2072.91,981.407,0.0,3084.39,5748.27,3040.44,9.06383,9766.82,0.721354,0.448918,0.0,1.0,72.675,30.4673,0.581261,167.236,61.8326,27.6633,3.40842,165.304,118.416,26.2821,24.9913,169.346,123.616,23.8896,44.0462,174.421,LP
18454_00136,6.0,774.0,4507.65,2568.2,3139.7,36346900000.0,75344.7,97.3446,135.332,0.659419,2107.3,16.7054,9.02382,1.0,36.0,0.0893424,0.0706764,0.0,0.602053,2846.95,1559.51,0.0,4681.72,5299.18,2888.23,13.0953,8525.76,0.731771,0.443616,0.0,1.0,71.2105,31.1222,1.31329,175.203,62.923,28.6894,0.0648667,168.144,118.46,29.7068,4.74938,168.025,122.607,27.5575,11.0056,168.393,VPM
