id,parent_id,x,y,z,type,level,dist2soma,path_dist2soma,angle,angle_remote,angle_io1,angle_io1_remote,angle_io2,angle_io2_remote,radius,lcradius,rcradius,length,pathlength,contraction,lclength,lcpathlength,rclength,rcpathlength,width,height,depth,lslength,lspathlength,rslength,rspathlength,lstips,rstips
1,-1,6992.52,3726.85,7926.33,3,1,0,17.858,49.4376,71.9262,153.562,107.721,152.604,158.386,1,1,1,16.7792,17.858,0.93959,596.047,718.818,5.30898,5.33508,13.0298,8.66992,6.0498,17064.9,19748.7,594.431,720.178,161,6
2,-1,6992.52,3726.85,7926.33,3,1,0,85.4785,0,0,0,0,0,0,1,0,0,79.433,85.4785,0.929275,0,0,0,0,6,70.4702,36.1602,0,0,0,0,0,0
3,-1,6992.52,3726.85,7926.33,3,1,0,9.61544,81.8218,65.23,129.92,147.712,142.146,142.167,1,1,1,9.61495,9.61544,0.999949,13.2515,14.4338,2.93393,2.99251,5.77002,7.4502,1.91016,542.818,612.127,210.668,274.003,8,4
4,-1,6992.52,3726.85,7926.33,3,1,0,104.348,0,0,0,0,0,0,1,0,0,88.1737,104.348,0.844996,0,0,0,0,64.77,61.8901,8.66016,0,0,0,0,0,0
5,-1,6992.52,3726.85,7926.33,3,1,0,16.9116,79.5604,76.2049,174.904,154.465,100.007,127.319,1,1,1,14.0556,16.9116,0.831123,4.96281,5.28362,7.36508,7.45436,6.75977,10.6201,6.58984,390.69,453.604,142.263,175.391,6,2
6,-1,6992.52,3726.85,7926.33,3,1,0,19.8774,33.7904,57.128,156.519,155.649,165.336,145.995,1,1,1,19.5928,19.8774,0.98568,5.63196,5.6547,46.4492,52.6441,19.46,2.54004,1.68994,128.877,161.415,46.4492,52.6441,2,1
7,-1,6992.52,3726.85,7926.33,3,1,0,21.65,117.518,117.518,133.783,123.287,107.724,119.195,1,1,1,20.4299,21.65,0.943642,2.86443,2.90141,2.01781,2.02998,2.79004,15,13.8701,263.544,304.872,137.522,161.768,3,2
8,-1,6992.52,3726.85,7926.33,3,1,0,9.86792,51.5914,61.7404,164.166,152.422,143.994,144.621,1,1,1,8.85817,9.86792,0.897673,4.85154,4.88266,66.1558,81.2331,4.02002,3.46997,7.08984,232.044,323.428,66.1558,81.2331,4,1
9,-1,6992.52,3726.85,7926.33,3,1,0,97.202,0,0,0,0,0,0,1,0,0,81.709,97.202,0.84061,0,0,0,0,74.1299,40.6699,11.25,0,0,0,0,0,0
10,-1,6992.52,3726.85,7926.33,3,1,0,20.9573,49.5281,14.1211,171.187,170.378,131.518,157.324,1,1,1,19.5235,20.9573,0.931585,76.9374,92.131,88.6381,96.8571,15.46,12.3301,1.06006,76.9374,92.131,88.6381,96.8571,1,1
11,1,7005.55,3735.52,7932.38,2,2,16.7792,736.676,103.283,85.3343,159.935,134.197,87.5427,56.8452,1,1,1,596.047,718.818,0.829204,4.07579,4.35076,31.3938,34.7918,234.51,327.85,459.42,16229.8,18776.3,274.492,292.679,152,9
12,1,7005.55,3735.52,7932.38,3,2,16.7792,23.1931,70.0633,37.9303,159.641,159.792,128.643,142.261,1,1,1,5.30898,5.33508,0.995107,11.5314,12.0111,89.4644,112.779,3.33008,4.08008,0.669922,511.189,614.075,89.4644,112.779,5,1
13,3,6986.75,3719.4,7924.42,3,2,9.61495,24.0492,111.567,111.567,127.744,116.605,83.3472,88.6343,1,1,0.5,13.2515,14.4338,0.91809,4.8017,4.88488,0.252592,0.252592,3.79004,12.95,1.43018,312.498,349.061,222.123,253.77,5,3
14,3,6986.75,3719.4,7924.42,3,2,9.61495,12.608,76.5549,43.3149,153.135,145.955,129.203,161.785,1,1,1,2.93393,2.99251,0.980422,17.1671,18.6351,94.0707,115.016,2.83008,0.77002,0.189941,130.83,174.63,94.0707,115.016,3,1
15,5,6998.95,3716.23,7932.92,3,2,14.0556,22.1952,79.4286,90.4799,156.366,156.366,109.961,92.8939,1,1,1,4.96281,5.28362,0.939281,5.21553,5.23014,72.9559,97.3411,0.639648,4.60986,1.81006,317.987,356.21,72.9559,97.3411,5,1
