Cell name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
15257_2226_x16029_y23953,28235,12.5664,8,90,186,97,5229.12,2549.97,3160.8,1.99993,28570.4,179513,89756.7,5539.24,8374.74,18,0.862441,150.796,1,67.5562,62.5884,1.17223
15257_2309_x13266_y25533,46155,12.5664,9,158,323,166,4760.65,1796.77,3037.2,1.99996,46058.2,289392,144696,4951.78,8779.96,30,0.850638,141.892,1,75.2185,72.0982,1.20521
15257_2627_x17126_y20600,86894,12.5664,8,207,420,214,8391.32,5206.35,2956.15,1.99998,84229.3,529228,264614,8284.23,13612.4,27,0.863212,205.888,1,72.2059,64.7966,1.12003
15257_3271_x15413_y13333,62246,12.5664,8,167,340,174,3523.15,2783.18,2811.42,1.99997,56828.6,357065,178532,4262.53,7796.19,21,0.83283,182.074,1,71.4874,67.4495,1.21746
15257_4021_x16401_y21556,48542,12.5664,6,95,194,100,2589.92,3577.57,1560.58,1.99996,44291.5,278291,139146,3283.97,7986.7,22,0.847113,249.211,1,69.0475,73.3541,1.19235
15257_4149_x16164_y21238,50667,12.5664,6,141,286,146,2134.68,3518.55,1631.48,1.99996,45307.3,284674,142337,3299.13,7726.42,18,0.827558,176.154,1,70.3658,72.0847,1.2144
15257_4397_x16794_y21812,37707,12.5664,8,111,228,118,2502.8,4051.47,1961.97,1.99995,46057.9,289390,144695,3534.3,7705.25,19,0.86688,164.377,1,77.2521,63.0993,1.20336
15257_4485_x16442_y16836,66600,12.5664,9,152,311,160,1877.62,4667.48,3801.08,1.99997,60630.1,380950,190475,4270.28,8654.4,21,0.870234,213.145,1,74.0682,68.777,1.23048
15257_4500_x16614_y17147,45906,12.5664,7,115,235,121,2287.83,4434.47,1925.03,1.99996,45087.4,283293,141646,4007.77,7058.35,19,0.851484,194.34,1,76.8161,65.7192,1.16839
17109_1701_x8048_y22277,83167,12.5664,8,117,240,124,2860.83,3926.32,5995.25,1.99998,87619.4,550529,275264,4672.88,10235.8,26,0.841888,345.525,1,73.0272,65.6336,1.1453
