,#neurite voxels,#somas
18468,152,18
17051,25169,276
191804,31217,49
18461,39097,56
182721,40262,1
194076,50211,3
194075,54855,11
18470,93063,197
191801,134209,5
18452,164534,26
196474,191024,178
194077,196505,13
194073,198226,5
17787,366000,69
18049,400851,3
196472,427489,51
194078,479060,42
196470,545455,57
18469,673889,301
191803,681850,1
192343,694508,12
196471,743523,78
18466,934743,173
17542,1001287,3064
18052,1029313,286
196478,1065644,235
17541,1070176,81
17788,1137599,82
17304,1790520,199
191817,1869503,225
194061,2027450,1
196477,2101827,106
191812,2109899,32
18053,2452513,707
18047,2764766,103
194072,2798191,102
211541,3822421,324
196476,3859843,288
18462,3997537,337
201605,4094894,6
17543,4277387,981
201606,5892169,52
18459,6477725,114
194069,6543636,114
18463,6756753,582
182725,7553270,15
194062,8053616,210
17786,9695912,1683
15257,12238159,4496
17782,12676539,382
17545,13580050,628
18464,13860900,220
18453,13918485,381
201604,13955456,2
17302,14232972,564
191807,14510079,13
17781,14631625,589
191813,17773212,712
192341,17936924,1464
196466,18114824,684
17109,21271545,847
17301,23875914,774
17052,24887933,233
18864,25789284,495
18862,27077443,741
196469,27576017,467
194060,29167413,306
182724,29601587,22
182722,30137333,742
196465,32066763,1099
201586,34817805,3032
18872,36189851,2736
201585,36653179,8148
182712,41216423,1569
201582,42746058,1174
196468,44016951,117
17300,44922887,2157
18866,44970181,1161
201589,45952084,7542
196464,48724525,791
192333,54183839,343
18455,54399524,2465
18465,61367722,305
17298,62401473,6374
18467,62809764,494
201588,63478953,76
196463,64729692,1010
18457,66486280,256
201584,67577554,6912
194063,67727045,358
194064,69798888,70
182726,72848619,325
194080,74296473,302
201590,76354332,2460
192334,79728742,361
192348,84977435,9357
191808,86637641,53
18458,86961079,603
18454,90044473,2048
194081,96566737,220
18869,113783340,225
192346,121448226,8648
192349,132688141,12847
17785,149189167,441
18860,155784628,2867
201595,179144546,290
18865,182647075,3192
192337,187638156,564
191798,201465906,12823
191797,214529123,16680
18867,227345038,194
191799,236885558,24090
17783,319517635,2015
18868,323262072,590
201598,350908328,81
17539,351569347,499
18861,422464930,1842
18472,437280421,3022
18471,620810783,852
17544,1151967214,29
