,#neurite voxels,#somas
549009219,41254,1
280,82989,2
147,85398,1
106,88054,4
653,116366,1
75,120384,9
177,130568,10
35,135024,2
549009211,157682,2
135,171162,16
549009227,182787,2
975,195183,1
859,206490,13
222,235778,9
203,251032,9
292,259567,2
231,261905,2
607344830,277649,3
10671,297499,3
1069,297571,21
66,302642,2
358,328365,1
549009223,335981,2
563807439,339780,5
874,351787,6
207,377811,25
1120,433113,3
452,441342,2
197,459799,6
30,469525,13
591,496786,12
880,549285,7
414,594747,10
576073699,628052,4
230,628055,11
604,654230,4
210,666634,2
589508451,672617,23
609,717877,10
390,747902,2
333,752305,10
206,757092,19
689,774175,4
1039,776406,71
126,813105,18
189,818671,15
12,833372,24
286,850140,57
59,884769,19
238,912192,6
1113,918692,11
580,927560,34
58,951719,2
133,991346,7
1044,1000305,12
725,1044297,12
1,1090300,67
642,1092683,15
549009215,1137768,16
781,1177149,2
980,1185182,9
162,1196090,16
531,1218470,3
534,1273396,25
765,1277990,4
422,1312851,6
72,1345033,2
347,1373523,34
64,1379024,1
118,1393676,4
173,1428875,5
970,1496588,49
560581559,1500776,22
839,1511337,29
621,1514675,4
263,1557156,1
773,1604857,21
1109,1720853,11
741,1724478,14
907,1762621,10
27,1811263,43
599,1855817,41
634,1865136,27
223,1891325,68
83,1897253,62
1004,1900633,56
307,1929682,56
38,1979275,23
872,1984404,50
246,2027737,18
706,2071137,6
235,2138915,72
19,2176586,19
63,2182296,20
560581563,2228844,21
978,2321780,77
15,2327936,48
169,2391852,43
364,2393402,42
711,2546587,136
1077,2597932,12
325,2676371,5
483,2703605,19
525,2887250,9
576073704,2936348,7
903,2981525,18
616,3087338,15
1029,3099074,18
149,3105835,53
366,3117916,34
272,3130269,22
619,3133839,41
563807435,3297898,28
186,3315529,31
814,3440103,57
575,3517192,10
1107,3555955,80
898,3558587,28
1061,3610125,7
581,3669468,72
661,3713200,100
372,3784684,2
922,3990902,158
470,4016138,8
1105,4019607,190
255,4098390,12
930,4301618,20
127,4312788,42
912,4446880,24
1098,4448574,106
100,4481146,33
515,4532092,63
830,4603805,64
589508455,4647431,8
312782574,4760268,124
374,5233313,42
679,5403752,70
614,5548874,66
1052,5727131,32
266,5728383,57
214,5766684,27
612,5941458,60
1027,6000275,178
491,6026257,24
423,6134407,40
298,6304000,70
398,6331216,125
44,6481255,47
181,6540486,58
564,6600160,55
946,6718539,59
639,6966041,296
628,7091744,10
589508447,7106885,72
484682508,7210727,76
184,7257574,69
574,7282228,142
629,7377215,47
1093,7434332,58
749,7454495,127
693,7577941,26
445,7740590,108
310,7808353,136
7,7904809,171
402,8082068,198
523,8086427,38
226,8129367,16
88,8363145,69
1048,8503151,248
685,8624335,183
23,8942900,116
429,9001216,559
362,9332013,104
178,9350095,41
788,9463910,243
250,9716394,404
475,9911996,125
651,9972574,305
131,10208866,365
437,10236343,432
566,10404955,267
136,10430893,299
394,10556392,171
895,10652381,500
718,11024099,388
852,11065454,399
1011,11440947,401
1018,11464268,540
867,11618222,232
425,11644372,243
780,11668001,359
409,11799497,287
1031,11935779,18
155,12077483,33
596,12091422,102
312782628,12326992,462
533,12644501,281
96,12870394,340
101,12932074,206
998,13120474,628
931,13412383,326
209,13525941,20
146,13647899,117
1020,14011848,102
731,14048040,105
966,14175952,832
583,14189601,710
843,14379950,230
417,15065823,245
319,15536713,452
589,15649074,473
746,15946286,165
846,15980242,14
1084,15988058,404
1002,16421155,771
262,16716325,180
351,17842368,267
217,18580080,16
119,19137789,1214
170,19503799,434
151,19634121,194
182305689,19705818,357
218,20444028,108
215,21053255,53
972,21371548,191
312782546,21525681,321
361,21757369,333
733,21934302,903
541,22944373,878
795,23501139,663
1057,23506253,1000
677,23543060,1124
723,23702489,624
647,25189731,652
797,25570223,135
1037,26138983,404
295,26711343,625
952,27768364,2101
484682470,27990180,322
111,28240664,1143
258,30509581,627
225,31207459,101
337,31800178,637
194,32472207,116
403,34016971,606
1049,34346423,805
894,34476765,594
918,34942873,666
989,35229490,56
1022,36661475,155
202,39435587,327
128,39911502,529
104,40039159,1888
48,40049157,447
536,40541912,655
502,41009812,502
353,43723971,882
381,49149999,128
91,50562103,48
39,51292292,480
926,53639057,795
369,54075556,1015
159,62654499,4878
4,66265901,7806
463,70696021,543
968,73231684,440
879,74284185,961
342,74491609,1518
294,76139052,1739
302,79211362,839
345,86141479,1979
944,86367953,848
726,89548955,2517
56,90220012,4021
754,98723586,4940
385,100313417,2076
329,103556654,1826
378,109467007,3466
951,119283940,1549
961,121843983,4466
985,130906901,2550
886,134959961,1022
957,138884090,1428
993,151361392,1997
1033,189057709,793
1041,206627862,2327
382,218390849,2717
936,308511481,3657
920,327077292,3707
1025,445702378,4029
1007,449693359,4985
672,573898381,24588
928,582535482,7369
507,693134389,20468
1017,794865352,7513
