region,count
2398,17922
2488,464
1156,178
1228,83
1148,2552
2588,5780
1144,24636
1176,6039
0,2771079
1178,16248
1236,12393
1235,47016
1143,32499
1183,530
470,2219
2392,33091
1152,2329
1238,88
1180,1094
1179,1008
1177,18014
1155,63175
1217,131765
1237,7857
2391,7575
2592,428
460,127
56,758
1707,190808
1653,765143
1681,5860
1677,226689
1647,228342
1613,1778442
2461,78382
2459,26741
2319,177197
1863,281441
1651,20358
1665,13020
1663,79788
1341,18169
1107,5450
1669,17577
1667,85263
1760,8398
1710,2497
1709,4081
1614,43173
1714,3849
1759,11725
1713,6381
1678,9931
1683,8153
2562,1266
2458,177
1654,23319
2241,1359
1684,3860
1740,7045
1761,191
1762,1182
2561,21025
1540,6735
1534,1161
1539,1490
1746,62
1744,460
1756,8
951,161168
1670,10122
1668,1705
1622,14098
1620,7474
1708,5489
1664,835
949,904146
953,498690
367,46
365,910
1137,1019
1139,27151
1129,1716
363,83
1711,3035
1685,166
2242,642
2457,40
1712,606
1750,694
1743,773
1767,113850
1825,29569
1,240327
1533,12999
1541,23123
1645,199432
1733,80679
1727,16823
2405,26233
935,1944744
1071,26010
1055,891
1321,10499
1739,2723
1621,4085
1623,1775
667,7247
1111,64
2203,126854
2229,2177
2239,361
2,19726
1542,1477
1768,1494
1564,134
1480,216265
2506,449
1590,26
1302,27780
1340,1656
1404,18
1372,64933
1604,259
1576,31825
1432,438539
1680,969
1610,7
1292,319300
1284,246710
1310,41
676,519
674,5862
2510,3786
2394,209
2400,1500
915,167254
2491,136281
2600,110864
2599,158334
1586,161571
1431,5089521
1308,39310
1283,782995
1398,57516
1397,144727
1370,10359
668,4155
671,7204
672,798
2509,9501
2399,8736
2393,7429
673,19976
1466,187358
2560,23830
2558,618
1679,540
2243,16
1426,843
1695,1182
1696,15
1642,44
1585,1347530
1390,681675
1312,1662
1311,892
1299,290729
1339,227671
2403,39459
1595,443375
1601,84529
1589,4411459
1593,10163
2443,141279
1605,3161903
1291,2076478
1603,1192604
2235,20218
1295,15432
1609,433080
1337,760862
2433,1097
719,25
717,226
855,15277
865,25
877,5004
1201,3340
1197,111
2521,17
1479,1432794
1465,276965
2557,32816
2559,593578
1381,1053630
2487,52361
675,46667
677,8313
661,4039
663,1209
1301,101008
1403,15052
1689,266463
909,18548
1563,17119
1575,2886153
1467,15690
1468,111
1699,8460
1561,8012
1389,1346055
1307,31661
1399,56392
1371,332391
1701,1305
1329,8288
1693,1988
1345,69974
2505,116464
1297,41547
599,1201
355,77
353,236
1641,26
1392,384146
2244,275
1400,4301
1401,200386
1089,3367
659,969
1697,2861
1427,103933
1391,388959
1379,625060
1425,18589
2575,289
1289,625406
2531,471
1597,301996
1296,5
1290,30289
1300,34539
1298,9855
1223,5549
1428,204
1407,196457
1331,5688
1327,7289
1380,251956
1395,47096
1382,98835
1396,58550
705,70
601,4077
1606,130316
1596,96
2444,166
2532,23
1346,10
2425,2641
2573,8740
1227,59286
1591,43344
1495,10339
1151,49960
2223,1473
1147,4279
1243,50310
1181,23277
1182,1956
1240,2223
1239,22338
1478,216
1489,40155
1477,859
2587,4703
2397,38133
475,419
471,3678
2495,300119
821,8687
2385,292
499,1901
501,50
469,12864
799,2915
497,5219
473,4735
502,47459
2386,2249
504,809
474,962
472,601
488,9551
822,22778
494,21005
468,9182
800,2680
480,9107
811,147
983,10559
485,6184
467,15005
984,23720
498,123565
760,15882
493,16246
759,2563
812,1377
782,5388
53,16
51,538
