region,count
0,53986509
762,1014930
760,674703
2218,534226
782,375580
586,402
520,31151
2220,3071
1592,99654
1590,42057
2,118925
1156,5264192
1144,96554
1228,669510
1432,91580
1408,957
1218,29959
1188,16361
1230,17331
2404,1470
1222,2078
2234,51523
2204,65729
1506,290
2233,279
1510,3554
1502,100
1504,299
834,865547
1148,219520
856,7123
890,716
1198,100
1490,54504
1516,6687
1358,169
1244,13201
2236,90390
2572,2
1512,3981
1284,106
1382,5
1554,1977
1152,494895
2224,20712
1496,16271
1180,1070
1238,36905
1178,161
1120,41702
1112,7733
2388,2691
2214,440690
568,476
592,3627
1116,2881
2386,808
2588,74
590,4901
566,438
812,365386
524,10832
522,17455
588,5777
526,1468
528,1095
564,208
1202,41948
1436,8957
1300,1105
1290,390
1600,1452
1292,1250
1598,2663
2506,244
1136,2399
848,18818
850,14964
1224,511
1296,61
1380,344
2560,27
1606,30
2522,1512
1154,39430
2486,10283
2526,97
1476,16822
2226,16870
1472,173
1478,5432
1122,269
2599,4
1386,4
1492,409
550,8
1190,2011
1604,16
1576,931
2532,1
1372,75
852,285
1553,426
1501,2
1431,25
1390,26
1442,4
594,13
822,16
500,131
562,193
1235,33
1236,118
2496,90
1240,90
2600,23
