region,count
2260,1206
1910,2091
0,4302951
1872,527521
1974,3138
1958,38452
2314,8
1890,1355
1976,15283
1966,6769
2162,27152
2110,6488
2170,33615
2030,28028
2169,41402
2363,30463
2461,295732
1871,617777
1965,85404
1909,189047
2259,132690
1973,369418
2161,135432
2029,90018
2118,3351
2378,23374
1898,26196
1948,83
1992,1168
2418,1790
1956,7311
2416,1146820
2028,3467
2027,3850
2460,51051
2417,4181
2016,5629
1957,316951
1975,578999
1897,29806
2101,1882
2109,9546
1955,143165
2117,3551
1,79631
2357,139607
1947,7170
2015,4124
1991,794
2459,127046
2025,48669
2415,126859
2102,2826
1978,50017
2010,2728
1952,18984
1986,7090
2126,743
2606,19097
2086,78470
1962,275
2196,1425
2094,8131
2008,11288
1994,7
1970,15597
1944,757
1946,1893
1968,3069
2462,172311
2136,17191
2146,42762
1912,13639
1883,115059
2605,41552
2361,27801
2593,120438
2377,277652
2145,44321
2153,68516
2135,97515
1911,268654
1913,74200
2093,42266
1951,108377
1985,6206
1969,32750
2085,117055
1977,273615
2007,36413
2009,8836
1993,1987
1983,232
1961,1817
2154,17964
2026,42176
2125,991
2594,78174
2603,14990
2241,2251
2195,7174
1967,32491
1893,9455
2013,207
2177,38164
2198,2947
2364,109
1147,301643
167,749
169,1018
155,647
45,152952
833,69322
1155,16245
1143,21319
1111,1231
591,5934
1119,3837
2387,10560
1151,4957
204,144842
206,79027
208,29295
218,135912
234,26506
220,109983
232,34030
148,43963
574,143305
562,96887
576,92492
1237,800
1238,4926
1431,21769
1490,9482
456,621297
468,404902
458,180791
470,180961
469,5997
984,9120
472,959842
52,998956
457,16189
1477,6816
1478,27893
2,202172
1177,143
1144,140420
1178,1119
2398,965190
1176,81
1236,217
54,577913
1235,2738
205,2619
203,9486
231,6224
219,12850
217,17391
233,4282
573,4637
147,4022
93,1408
149,9231
151,1842
575,1886
587,9211
585,5584
223,63964
561,12734
207,1433
209,18521
221,3127
156,9415
158,914
2380,197378
1148,4138966
162,222575
164,137624
166,53768
192,61620
194,24145
1120,39505
1112,8994
760,273119
834,81854
1152,141343
1228,118424
2218,6317
1156,55169
2388,56495
196,226425
154,93543
168,226706
170,77269
2397,16288
2587,15483
1175,16
57,13379
2487,7362
473,1259
461,40617
1227,3307
51,96872
53,70900
41,75801
55,65942
43,137352
2223,28
39,102852
59,111
40,971975
134,258433
42,831405
136,117424
46,1462315
2488,392773
48,20563
44,1331319
2392,190535
138,40840
1432,282802
1592,8796
474,236183
476,13694
56,2348142
460,1709843
58,1644336
462,801762
1180,1780
1244,9806
1218,413087
60,12658
464,8932
1496,544
2224,9337
2588,73757
2592,58574
567,7134
569,2277
1115,2406
161,30938
163,914
589,13148
227,1231
47,1608
172,4994
210,236567
224,520293
222,40261
564,129399
566,521312
578,293947
588,48541
590,101942
150,69283
94,25539
152,36910
92,24184
586,58647
592,6832
212,86371
214,3530
226,64760
228,8549
570,7934
568,136192
96,9017
1116,16770
190,123580
759,133656
225,7585
565,93111
211,7469
153,1661
191,1226
189,15719
580,80117
459,242097
471,48747
1489,99
1217,56640
1179,216
2225,1
91,1762
95,6375
97,4070
213,1385
239,1241
579,58
577,42
235,456
195,29
197,107
99,184
2217,21977
165,139
193,125
1239,6
1181,32
2505,55
1471,1
2203,25243
475,224
1591,15
1243,84
133,14431
135,489
139,161
2379,2542
1230,2612
2404,3790885
1154,12678
2486,2840
242,497
240,16222
98,4846
100,3158
106,213270
1153,2205
236,5047
237,9779
1487,136
1488,2629
1553,134
1492,371
1491,785
1182,17
1240,7
1476,4246
1512,107
238,92234
198,65210
200,2501
2204,375017
2226,10
2234,3334
2506,193
1472,699
2403,235977
2485,551
140,463175
142,81379
144,14561
176,191828
1222,295691
1408,217266
1284,217445
1352,10750
2496,889
2520,33
889,485
102,355
856,23902
890,2556
