region,count
57,3738
59,146
55,576
0,41690826
525,1
461,70
2487,224
463,4
473,4
45,428
43,26
378,4
376,1
761,73
599,109
374,3
479,2
2085,194
2086,80
674,4
600,2
459,1
1623,4
2135,41
2145,53
2093,48
1055,21
1147,604
1667,27
563,1
567,1
100,1
210,1
762,29
2,27
2600,16
1696,1
2060,88
2094,25
149,1
950,82
2393,8
2509,9
2491,1
387,2
1072,7
1056,21
936,44
2136,44
93,3
211,5
2146,299
1663,5
759,5437
935,19
953,1
916,69
2213,5
1669,19
1627,11
949,14
781,3
2217,4
2391,2
2059,91
915,5
954,34
206,4
148,1
2461,9
1957,82
1977,6
1985,11
1872,207
1956,35
2460,5
1952,97
1976,30
1970,8
1978,31
1974,124
1986,30
2462,7
1965,29
1809,9
1997,1
1951,72
2415,5
2026,4
2023,3
2459,6
1967,1
2363,3
1973,33
1998,1
1958,102
1975,27
1871,298
1969,15
39,5
653,16
601,261
655,2
133,4
177,25
695,3
345,51
697,2
347,4
2418,1
1955,5
2416,18
1828,41
1768,84
1811,1
2281,47
1935,4
1807,1
1961,2
1812,6
1910,48
1767,165
2275,45
2319,207
2276,2
2016,69
2358,1
2260,118
2362,68
1913,40
2259,147
1827,35
1911,66
1613,289
1653,68
1677,13
1020,309
1614,456
2282,201
2378,60
2154,43
1386,8
2052,36
1678,15
2377,91
1115,1
2153,150
1706,23
1654,27
2030,40
1148,5
1304,5
222,1
2214,7
1702,1
2403,47
2051,21
2101,32
2102,21
1416,23
1217,63
1143,52
1243,4
2519,2
1303,2
1341,8
1337,51
1063,3
1365,6
1628,3
1360,1
1017,41
1401,5
1332,12
1689,2
212,1
1634,1
1664,13
1693,1
1725,5
1631,60
1632,87
1181,20
2511,402
2599,6
2601,1
1838,26
1890,22
2606,23
1886,18
1432,346
1576,3
1564,159
1898,127
1892,26
2320,28
1912,81
1914,11
2256,6
1780,57
2271,10
1885,26
2361,8
1897,42
1948,1
2241,16
1825,187
1837,40
1909,42
1771,7
1772,22
2359,27
2253,12
1155,2
2015,3
1889,18
1863,15
1779,8
1132,1
457,1
51,8
53,8
139,4
41,8
56,1
662,2
660,13
604,1
456,6
458,5
42,1
2591,82
2587,739
2397,281
1629,31
472,3
1670,7
1619,26
672,3
1620,1
47,2
1630,8
1668,10
114,2
111,1
113,1
2161,601
2197,2
1372,7
2110,8
2170,14
1299,3
1707,27
2169,36
1781,82
1859,18
2195,9
1321,4
2029,20
2357,11
1953,2
1407,5
2200,2
2162,17
834,2
1322,17
1284,4
1782,84
1954,2
1690,7
2350,20
2041,9
2117,21
1683,4
1283,4
575,1
1682,4
1708,3
1396,6
1296,1
1300,5
2109,3
2349,40
1403,1
1735,30
2177,26
1784,6
2008,107
2202,6
2178,5
2118,40
1740,25
1713,1
1714,4
1712,1
2125,9
2126,12
812,1464
1734,1
1291,6
1857,8
1339,1
2204,1
1605,6
2593,1
2011,35
1289,34
1818,6
1144,876
1390,1
231,2
1,161
2199,10
1223,2
1783,34
1645,14
1817,7
2604,10
760,1530
1156,5877
1480,1
1756,35
1821,30
1744,22
1743,19
1757,4
1754,8
1852,10
2006,10
2272,3
2185,16
2526,1
2560,1
1883,41
1601,90
2203,12
1431,97
2007,97
2005,5
2010,51
2186,1
1884,11
2009,42
1589,18
2443,179
1595,76
1609,3
1593,36
1647,210
1851,17
1585,2
1864,53
1894,59
1893,21
1130,2
1749,4
1865,32
1866,9
2242,16
1983,8
1993,28
2605,2
951,3
1926,37
2594,14
1842,1
2014,5
1591,9
2265,8
2261,16
1994,3
1592,1
1590,2
2013,2
1925,5
