region,count
0,16453874
993,10057
991,5232
203,1346
205,4171
247,196
277,1382
275,152
1001,3906
575,2725
573,44
303,123
307,47
727,50
305,20
723,434
729,2483
749,2745
281,160
311,53
739,464
737,60
207,1377
209,25670
725,23
251,78
279,1654
309,427
295,1196
753,314
751,63
741,113
235,14
237,5726
577,2279
1147,796952
223,23752
1119,25713
579,234
225,12361
1115,11729
2387,12457
227,1820
581,4
585,433
2177,27554
1123,234
935,4139
925,373
915,4515
91,120
107,2537
105,427
359,1384
361,517
221,4836
219,5385
561,118
211,29684
2397,13112
1011,619
1033,311
1029,5616
1025,2461
1019,3140
1017,2574
93,512
97,1779
421,5625
365,74
363,42
147,483
109,4977
111,7902
113,3464
2379,8022
909,442
1007,513
149,1564
153,24167
213,3360
435,3317
423,140
437,18
433,141
419,139
417,32
431,1717
429,1340
115,59
2433,2227
155,22226
99,919
257,10
255,475
253,121
731,3516
833,15384
899,3814
1121,5830
151,749
2491,1192
2399,181
2393,250
1047,347
94,323
108,1753
106,334
110,8700
112,2114
342,29
340,121
338,1992
2394,2266
92,77
96,25
336,378
366,6528
368,1728
378,11858
380,18368
364,587
362,52
374,2144
376,10512
388,2
1148,726856
580,4987
1120,14708
2388,14328
1222,56359
1144,10911
2186,1936
2178,5046
2378,5926
576,12170
564,85
578,30639
224,16982
226,27532
1116,17609
228,2274
2520,811
2204,3842
2594,4400
2162,17210
936,6787
220,101
222,1160
2154,5010
2436,1002
2404,12891
208,1727
210,29773
212,28186
240,11142
214,1873
242,33
2398,22058
2434,4935
1026,1038
2146,13402
2380,8919
1064,87
1072,71
1030,199
1048,87
2,3157
2492,2203
154,4119
878,1143
834,41135
866,5114
890,2668
900,26208
1034,18
148,1003
150,1172
156,36137
100,3574
114,8575
116,209
1140,401
1020,2085
1018,8178
2606,2908
1124,886
1128,403
2482,36
1194,1593
950,8621
152,53
2496,3874
370,309
98,90
2400,142
916,3399
394,1
1130,2042
1138,680
1886,2984
2030,1186
671,4921
667,5369
672,5857
668,1597
1623,10
1621,548
656,2803
674,20369
2086,2333
2377,11833
2085,668
2093,3724
54,3171
458,39
460,3414
653,3208
654,2107
52,200
762,5438
760,11540
486,98
468,12
470,1466
550,205
552,194
538,33
472,7692
1620,6
1668,25
1664,15
1666,7
1678,270
1614,2145
982,274
2600,1613
1,4363
2510,28
2059,924
2060,646
500,3
2512,32
1426,531
2593,11909
1425,1612
2109,1883
2101,5286
2599,2816
1680,77
1679,593
2243,107
1695,635
1677,108
2602,163
2601,13
2051,762
1178,1591
1176,1447
1182,2587
1239,649
1181,1989
2511,43
2210,11
548,1381
532,3101
536,56
1947,4193
1993,494
1871,5136
1897,19299
2015,14
1889,653
1837,26
2459,18
1767,867
1442,70
1432,250
1566,29
1479,154
1585,33
1466,132
1586,33
1539,5
1541,10
1744,1
1951,37
1983,33
2214,537
1156,18182
1490,104
1478,6
2291,5
1891,2
812,1380
1362,171
1397,957
1398,714
1370,127
1372,5117
1369,64
1371,9935
1240,2571
2125,6712
2603,816
1403,466
1762,3
782,4693
1613,1914
1763,11
1817,7
1823,65
800,100
2117,627
2415,22
1739,1
1740,2
1851,7
1861,23
1821,13
1391,13
1389,789
1395,200
1390,1219
1361,106
1396,204
1380,2241
1392,62
1379,1295
1284,2403
1308,51
455,5329
456,1216
56,8061
1670,182
1629,100
1624,5
1622,74
16,55
484,24
2576,237
1696,1416
2052,69
1973,102
1238,288
2319,2645
1502,1
1510,24
1463,9
1506,8
1503,18
1576,129
1535,7
1969,22
1975,7
2275,2
1467,292
1499,1
1600,1
1468,28
822,1
1184,28
1714,2
1653,315
1312,5
1381,981
1382,458
1152,17338
2007,1124
1472,6
2224,56
1865,1
1743,2
1747,1
1748,5
1955,3
304,362
724,5711
750,619
752,935
738,449
992,52923
994,63625
726,4040
306,1510
728,239
1090,802
436,214
256,959
258,213
284,55
254,636
926,61
204,4877
206,2250
360,3
1122,452
296,54
424,5003
734,642
426,1864
730,273
422,24
416,1
1012,66
1132,46
2390,261
1112,2229
1008,3083
312,698
314,55
2588,4784
238,1813
195,4723
39,111
41,327
163,267
165,395
167,902
193,288
379,8121
373,2416
375,7618
877,30
865,271
697,1
161,231
1407,3520
2403,13342
2425,894
2435,2684
2519,402
2203,1925
565,13901
43,11795
45,14702
567,22647
569,2167
47,1929
2391,2393
2385,986
1221,78755
1063,590
2153,16607
157,2673
2495,4471
1415,970
1411,437
1329,15334
1071,6699
2145,1494
383,161
381,2128
387,40
53,3908
169,904
197,286
1089,1796
1111,2778
759,2594
1143,15396
1153,1193
1127,472
1137,4
2485,473
1199,7
1193,1420
1195,3978
1197,9353
1139,1026
2185,10657
1217,16206
1223,2902
1227,11995
589,647
591,2028
587,419
2587,3010
2509,1160
389,29
563,1177
2161,4703
1295,6556
191,16
711,283
335,98
333,35
709,194
95,384
717,18
337,87
369,14
367,201
889,209
2481,431
949,4161
951,458
101,5
249,677
283,24
733,346
297,514
299,5
293,50
217,42
239,3
755,4
285,20
51,1962
135,74
377,8054
181,350
179,1
133,334
2359,258
1283,5337
1299,23127
1605,2287
1405,72
2135,575
1365,1108
1327,2501
1331,3667
2229,1070
655,3825
55,10050
171,23
1055,869
1109,32
1155,7592
2255,49
1135,2
1321,2746
1319,506
1151,3882
1885,2386
2605,4216
1201,2283
2169,13121
1413,11
1323,1456
2199,1271
2029,5040
2521,177
2235,2018
1883,881
2217,41
474,5
2488,887
1692,1
780,7
776,226
520,68
554,2
2094,916
954,2029
22,5
2220,21
462,695
1630,226
1838,22
1768,352
2460,17
1496,2
1516,49
1898,42038
1948,3282
1876,44
1875,83
1892,2
1952,57
2242,13
1872,11695
1984,313
1480,96
1994,412
2016,565
1826,11
1542,2
1534,10
1540,24
1228,22848
1932,2
1862,9
1832,8
2604,584
1852,41
1828,22
2560,663
1606,1983
2118,175
1648,107
2564,10
2008,4793
2126,5821
1244,605
660,12975
18,22
58,1525
676,2338
464,2
662,8270
678,85
1824,50
2041,739
1720,27
1654,285
2462,408
1408,4693
1356,1507
1358,305
1400,1905
1404,314
2042,56
1364,836
2110,55
1428,935
2386,7681
2572,301
2102,10
604,1791
1554,10
1218,7338
1562,10
1564,2
1532,1
1536,1
2418,37
2417,270
2026,1
1956,45
1500,11
1970,14
2234,1
1827,54
1237,441
1431,2397
1489,19
1475,7
1553,886
1515,1485
1589,1312
1563,456
1527,40
1909,3415
1957,4955
1977,155
1575,221
2505,1
1825,7
761,4505
1177,647
1175,53
473,390
2213,1106
1705,1027
1427,1343
2571,25
599,847
1631,721
603,5103
659,19585
661,5731
57,7642
605,1373
675,1728
673,6725
