# these thresolds are merged from check_20221121.txt and check_20221123.txt
brain_id,cur_thresh,supposed,description
15257,502.7,800.0,
17051,300.0,250.0,
17052,400.0,400.0,noisy
17109,500.0,600.0,noisy
17300,423.6,600.0,noisy
17301,500.0,600.0,
17302,400.0,400.0,lowcontrast
17304,400.0,400.0,
17539,877.6,1000.0,noisy
17541,400.0,400.0,
17542,350.0,300.0,lowconstrast
17543,500.0,600.0,
17544,1200.0,1500.0,noisy
17545,400.0,400.0,
17781,1000.0,1000.0,
17782,400.0,600.0,
17783,1000.0,1200.0,noisy
17785,500.0,600.0,noisy
17786,400.0,400.0,
17787,400.0,400.0,
17788,400.0,400.0,
18047,400.0,400.0,
18049,400.0,400.0,
18052,400.0,400.0,noisy
18053,400.0,400.0,lowconstrast
182712,455.7,550.0,
182721,400.0,400.0,lowconstrast
182722,400.0,500.0,
182724,480.1,480.1,
182725,400.0,600.0,
182726,423.4,600.0,
18452,400.0,400.0,lowconstrast
18453,400.0,400.0,
18454,441.0,441.0,
18455,400.0,400.0,
18457,400.0,400.0,
18458,400.0,400.0,
18459,400.0,400.0,
18461,400.0,400.0,lowconstrast
18462,400.0,400.0,
18463,400.0,400.0,
18464,400.0,400.0,
18465,400.0,400.0,
18466,400.0,400.0,
18467,400.0,400.0,
18468,400.0,400.0,
18469,400.0,400.0,
18470,400.0,400.0,lowconstrast
18471,1000.0,1200.0,
18472,745.7,1000.0,
18860,514.4,600.0,
18861,863.9,1000.0,noisy
18862,499.6,550.0,noisy
18864,400.0,500.0,
18865,500.0,600.0,
18866,400.0,600.0,
18867,400.0,400.0,noisy
18868,400.0,400.0,
18869,444.4,444.4,
18872,600.0,800.0,
191797,537.6,700.0,
191798,500.0,650.0,
191799,550.0,650.0,noisy
191801,400.0,400.0,noisy
191803,400.0,400.0,
191804,400.0,400.0,lowconstrast
191807,550.0,650.0,
191808,450.0,550.0,noisy
191812,400.0,500.0,
191813,700.0,850.0,
192333,426.1,500.0,
192334,700.0,850.0,
192337,400.0,400.0,
192341,400.0,400.0,
192343,400.0,450.0,
192346,500.0,700.0,
192348,550.0,700.0,
192349,536.6,600.0,
194060,532.0,532.0,noisy
194061,400.0,400.0,lowconstrast
194062,400.0,450.0,noisy
194063,552.1,600.0,
194064,400.0,400.0,
194069,400.0,450.0,
194071,400.0,400.0,noisy
194072,400.0,500.0,
194073,400.0,400.0,
194075,400.0,400.0,
194076,400.0,400.0,lowconstrast
194080,400.0,450.0,noisy
194081,400.0,500.0,
196463,400.0,400.0,
196464,400.0,400.0,
196465,400.0,400.0,
196466,400.0,400.0,
196468,400.0,400.0,noisy
196469,500.0,700.0,noisy
196470,400.0,500.0,
196471,400.0,400.0,
196472,400.0,400.0,
196474,400.0,400.0,
196476,400.0,400.0,
196477,400.0,400.0,
196478,400.0,400.0,
201582,400.0,400.0,noisy
201584,400.0,400.0,noisy
201585,400.0,400.0,noisy
201586,400.0,400.0,noisy
201588,465.7,500.0,noisy
201589,448.7,500.0,noisy
201590,400.0,500.0,
201595,500.0,700.0,
201598,1200.0,1500.0,
201604,400.0,450.0,
201605,500.0,600.0,
201606,500.0,600.0,
211541,400.0,400.0,
211796,400.0,400.0,
211799,400.0,400.0,
236174,500.0,600.0,
