# These thresholds are merged with check20221202.txt and check_20221205.txt
brain_id,cur_thresh,supposed,description
17298,600,900,
182711,400,400,
182720,400,300,
182727,550,650,
182737,1000,1300,
191809,500,600,
191810,500,600,
191811,400,500,
191815,400,600,
191817,400,500,
192335,400,650,
192338,400,500,
192339,400,500,
192340,400,500,noisy
192342,400,400,
194065,400,600,
194066,400,400,
194067,400,600,
194068,400,400,noisy
194071,400,550,
194074,400,400,
194077,400,400,
194078,400,400,
194079,400,400,
194083,400,400,
196487,400,500,
201587,452.1,600,
201591,400,500,
201593,400,600,
201594,600,700,
201596,400,900,
201602,600,1200,
201603,637.6,1000,
211540,400,600,
211544,400,400,
211546,400,400,
211547,400,500,
211549,400,400,
211550,400,400,
211775,671.6,671.6,
211776,490.8,600,noisy
211777,531.2,650,noisy
211778,597.5,700,
211780,400,400,
211782,400,500,
211783,400,500,
211784,431.8,431.8,
211786,400,400,
211787,400,500,
211791,400,400,
211796,400,500,
211798,400,400,
211799,400,400,
211800,400,500,
211801,400,400,
211802,400,500,
211803,400,500,
211804,400,600,
211805,400,500,
211806,400,600,
211807,400,600,
