ptype,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,Length,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
MOp-ET,1.0950794477853314,1.2129235558360858,1.2188983484771605,1.2247407624589468,2.9357923288288066,1.9481553686927362,0.7785063392240696,1.491829034636168,0.8607555941273748,2.438689860372903,1.905768401394702,0.29591458060396797,-0.19449104141460277,0.5299649109413032,0.6584483920422596,-0.1045200908705208,-0.17296185628362912,-0.5832712559168487
MOs-ET,0.7471044906979335,1.8677647992537854,1.8683599195850409,1.868807583459056,2.8223057220814063,1.7014472025817555,0.7669415105959713,2.30985648251689,1.108720368166841,2.47365358514861,1.8106507128702636,0.4689016657710233,-0.1561955827338488,0.6944425339286984,-0.071856516453133,0.2462808563304242,-0.205040525847699,-0.5604283290124032
RSPv-ET,1.3821096383771965,2.1034006218672885,2.109027368753801,2.11445367778496,1.0895563644837474,2.219187539926347,0.19835765309564515,1.6392505331910587,3.1328685378912953,0.7656638853235836,1.385110151463288,0.6024816110064244,0.6186431834799555,0.10194807240145608,0.8200000825867394,-0.23147619575622652,-0.3353797617432954,-0.49847195331975797
SSp-bfd-ET,0.4773310619453056,0.3361701180941051,0.3394160094636066,0.3426174974157132,0.5321473294225366,2.0575806757159705,0.32875993102563633,0.3251384589013166,0.5601134735831407,1.0799974830215893,0.679034052792398,-0.2291920966680611,0.13025306355072658,0.07282809220656832,0.4523937171374296,0.25810874215759017,0.0263002502630824,-0.8207031006508105
SSp-ll-ET,0.8591642226413329,0.32926210321023014,0.33603061307100035,0.3427312224593825,2.0998435710624848,2.3523724611603867,0.6338997867039279,0.6592879925947435,0.7963613328653031,1.8488805887819566,1.8201392586856613,-0.052232111992837386,-0.284060424425019,0.5643170992576111,-0.019967485799434373,0.24110455758861132,-0.15614926945726232,-0.8151060855199123
SSp-m-ET,0.3181862063628534,-0.10158403369366872,-0.09833240219188925,-0.09509058790165614,1.2488256436968586,0.9826334232544056,0.5258636081557587,0.009475808590698409,0.574993348690395,1.277869372658962,0.642122723742585,-0.30737237737808026,-0.1332675499957611,0.11244295035008105,0.3467193749225764,0.34779593679479553,0.07158672836308527,-0.7923022143418164
SSp-n-ET,0.43894022785358544,0.11698376738640402,0.12061099374035691,0.12420855104863116,0.6315698331333005,1.4709294486850133,0.5565679412752861,0.10652248970355928,0.16808690986036617,1.0539016926873934,0.5614830813864317,-0.07803081386233546,0.14658750881427723,-0.0028040858439298934,0.48119010154624714,0.2900692023357424,0.18707237853147057,-0.9201716502010882
SSp-ul-ET,0.5043084048205684,0.18911718247217016,0.19310222042810224,0.1970494415188816,1.1885339228739222,2.0209374875863664,0.0896698649000313,0.23134640966085004,1.0591911612934326,1.3431166088762714,0.853825610338426,-0.27238103461255414,-0.09967551563116311,0.06821590512717249,1.5583000609428737,0.020769623252439515,0.029030971720574658,-0.891695023418603
SSp-un-ET,0.6910746247262339,-0.008734470334502711,-0.002375892623621867,0.0039443173682410515,0.8658029641047884,1.569158233918455,0.13105967096910878,0.20928903312523933,0.02668035001602024,0.6337405641711101,0.6186214774383063,-0.1347879579752312,-0.3229445481798851,0.3209869682352042,-0.071856516453133,0.2546608705362689,0.15909977368566208,-0.9807743219986579
SSs-ET,0.9231983551804183,0.5425709163924244,0.5492127733893555,0.5557707221217879,0.9829434632676675,0.6364194547625448,0.7998424786795617,0.3675863281652798,0.48854521558476693,0.9789699857586077,0.5377945019705989,-0.10382951573183352,0.16381234812789663,0.00040524090059438196,0.18003990496402678,0.29784530952214566,-0.036728977009342745,-0.619627455092546
MOp-IT,0.32472550106512077,0.03272242646753651,0.03558472976140578,0.03842924984091592,0.45919880056529505,0.283286532098384,1.1525069359864668,0.8571957767240115,0.3604286764113099,0.16880067692534179,-0.007566938700313741,-0.30704390584234126,-0.2402632395698364,0.9998120181030375,-0.071856516453133,-0.15106354763749302,-0.2098414910842124,-0.5100315754784973
MOs-IT,0.26830381784886376,0.21094456651760332,0.21269360271851145,0.214418357279299,0.6539165868885882,0.8493933192904187,1.6283377747665513,1.1683667583572357,0.5207170837844696,0.782321290692411,0.4139773804316464,-0.35149705367901485,-0.14011047217079817,1.2189527822610602,-0.071856516453133,-0.35134447219266896,-0.3635704747927893,-0.44859170745398613
SSp-bfd-IT,0.09715804542621753,-0.24347721257075322,-0.24177667100728328,-0.24006413632882279,-0.4188747752560139,-0.24273244604013203,1.3258444394719846,0.3122387226490901,-0.009026506229294006,0.490817937973139,0.19954823150220458,-0.5702700455323584,0.11083935113651466,0.5301842553487123,0.24004892285239326,-0.06291810773709072,-0.40913041429104124,-0.09477791381395437
SSp-m-IT,-0.03731363290586164,-0.287187373910923,-0.2865730563754756,-0.28593587437794254,-0.46918718495578704,-0.5216629816127749,0.858286259830412,0.15493172840279462,-0.001320214202007029,0.028762593767573306,-0.35816355827085183,-0.6207008992737771,-0.2952630117580862,0.4359651875101217,-0.071856516453133,-0.058402115229440006,-0.22352174725892174,-0.054950986524223276
SSp-n-IT,-0.08213752568322139,-0.30983995444965806,-0.30956067518283736,-0.3092544528972855,-0.6346625845898917,-0.5410419162832761,0.6430212001711071,0.1345499186728499,-0.011818729657854693,-0.21134856801982155,-0.42587631153572325,-0.574397837831478,-0.13727308920055076,0.3406874487026471,-0.071856516453133,0.4224833589989669,-0.0013324836367756166,0.09071022237392486
SSp-ul-IT,0.21882289725047968,-0.12282303501096961,-0.12041102543581506,-0.11800142231497522,-0.2554048307095497,-0.10208307695371976,1.1004852979116488,0.26166788715596717,0.05366148432909786,0.2626197625409971,-0.26761903348682775,-0.4930213610774042,0.13851961975623153,0.48508053065144585,-0.071856516453133,-0.3119348033003949,-0.2660164659596153,0.034632191209452066
SSs-IT,0.44294236113727825,0.03587047817771594,0.039805711706403665,0.043715589782911075,0.12190457190605462,0.4216140329218535,1.8224604796468569,0.8989389344861379,0.38193134403152623,1.0783989771182656,0.6657685273530678,-0.21881801549302482,-0.355008011988522,1.0256556746949423,-0.071856516453133,0.15293358279388583,-0.34155497827369874,-0.39972732854923926
VISp-IT,0.06455885067904682,-0.39310252500579956,-0.39120025266369757,-0.38927552907920854,-0.4227237886886169,-0.5148645084919099,0.2072607727073729,-0.06223881339563447,-0.11318855774063484,-0.47482620425790417,-0.5681238202978407,-0.223910746251679,-0.3571601479334677,0.4242420058591411,-0.071856516453133,0.35167463276939287,0.6906954459833099,-0.4487896247994703
