ptype,Stems_mean,Bifurcations_mean,Branches_mean,Tips_mean,OverallWidth_mean,OverallHeight_mean,OverallDepth_mean,Length_mean,Volume_mean,MaxEuclideanDistance_mean,MaxPathDistance_mean,MaxBranchOrder_mean,AverageContraction_mean,AverageFragmentation_mean,AverageParent-daughterRatio_mean,AverageBifurcationAngleLocal_mean,AverageBifurcationAngleRemote_mean,HausdorffDimension_mean
MOp-ET,0.005261370833333334,0.9788603243518518,0.970614122037037,0.9502380868518517,0.3477078357037037,0.46667823999999997,0.288492512037037,1.0618039509259258,0.6859004259259259,0.24206902064814814,0.2722320758333333,0.6299529840740741,-0.1525548576851852,-0.22001877592592592,-0.13261016018518518,-0.1523899472222222,-0.1984308042314815,-0.1296575861111111
MOs-ET,0.24642448627906977,1.0464097651162791,1.0400628604651163,1.022956565116279,0.6037786430232558,0.5281215488372093,0.09438268186046513,1.151251488372093,0.6809982372093023,0.45851287220930226,0.3301900885581395,0.7720718155813954,-0.005472616279069767,-0.0017683855813953532,0.0558926488372093,-0.03244819116279071,-0.033038186046511625,-0.012783667441860457
RSPv-ET,0.1081218642857143,1.4270152142857142,1.4258840714285714,1.4078583857142857,0.8246067488571429,0.11774475542857142,-0.16191217857142856,1.25258971,1.1272216844285714,0.36810820285714285,0.3615679995714286,0.5024226142857142,-0.12982763057142857,-0.4885977828571429,-0.16519625000000002,-0.25937526,-0.32084092857142854,0.0644442
SSp-bfd-ET,-0.2340833100621118,0.16743705413664595,0.16254872900621117,0.1500236588819876,-0.26704769900621117,0.09304887968944099,-0.007028875136645957,0.15268513596273292,-0.025235403546583848,-0.18357257438509317,-0.18956598552795031,0.21564673565217393,-0.36413658360248446,-0.4957307832298137,-0.39980969049689447,-0.3826113155279503,-0.3613218298136646,-0.39474862795031057
SSp-ll-ET,-0.05098770882352941,1.030388250882353,1.0210748329411763,0.9998461073529412,0.21158593823529412,0.529730338235294,-0.04430356764705884,0.7801702147058824,0.5409921970588235,0.19332249235294116,0.3176286352941176,0.9720197726470587,-0.12068904705882355,-0.45131301470588236,-0.17557363529411765,-0.1065828294117647,-0.1431776038235294,-0.004789358823529394
SSp-m-ET,-0.34881889912499997,0.47479883137499995,0.4610751086875,0.43762294012499997,-0.1613130740625,0.08247894681875,0.3590208461875,0.47238676562500004,0.31411007199999996,-0.025841666249999996,0.03686487575,0.439297908316875,-0.35100792125,-0.42753998706249996,-0.31082871,-0.3086559875,-0.28076872124999996,-0.360671130625
SSp-n-ET,-0.008585055789473684,0.09118466789473685,0.093386014,0.092428754,-0.1920724367368421,0.13529615569368422,0.3957437171052631,0.14692187857894737,0.16734116257894738,0.06589164184210526,0.005181218626315788,0.045513735,-0.12348945715789474,-0.16947096721052632,-0.17764633807894736,-0.14141498184210527,-0.09460462578947368,-0.16810168878947368
SSp-ul-ET,-0.11309105578947368,0.16747526992481204,0.16260323293233084,0.15583453984962406,-0.05134012676691729,0.5970554819548872,0.09172036593984963,0.24682383360902255,0.023301281954887215,0.16598388871428574,0.1266132165413534,0.18643090285714287,-0.013586621804511288,-0.1649528804511278,-0.03804209924812032,-0.020153486315789487,-0.013114375939849621,-0.04027876015037594
SSp-un-ET,0.080643076,0.287699384,0.29500464,0.295459672,0.07067487011999997,0.372187772,0.034882072,0.44730087999999996,0.50372836,0.050354472000000004,0.242560908,0.294107408,-0.20517994800000003,-0.28084552,-0.23361480799999998,-0.21458919999999998,-0.07375433199999999,-0.257436176
SSs-ET,-0.3730179989690722,0.5367025801546391,0.5254336920618556,0.5015141226804124,-0.2779408424226804,-0.3079505074742268,0.2509662644329897,0.34739789164948454,0.09115544010309279,-0.33212096293814436,-0.2726119499072165,0.3422402096391753,-0.4793647907731959,-0.6596613613402061,-0.4775814154639175,-0.44669725082474226,-0.4703690891752577,-0.36340498608247424
