region_name_r316,Stems_mean,Bifurcations_mean,Branches_mean,Tips_mean,OverallWidth_mean,OverallHeight_mean,OverallDepth_mean,Length_mean,Volume_mean,MaxEuclideanDistance_mean,MaxPathDistance_mean,MaxBranchOrder_mean,AverageContraction_mean,AverageFragmentation_mean,AverageParent-daughterRatio_mean,AverageBifurcationAngleLocal_mean,AverageBifurcationAngleRemote_mean,HausdorffDimension_mean
AId,-0.039651342840909085,-0.3338189625,-0.3305860541666667,-0.3267731449242424,-0.3039983321969697,-0.40668251856060605,-0.330867793939394,-0.49127811071969696,-0.3619540988636364,-0.25403737670454546,-0.37848273541666666,-0.2608602140151515,-0.16063485084469697,-0.019828124886363634,-0.1771744340909091,-0.16757530852272726,-0.2046040621969697,-0.17587467674242424
CLA,-0.2613438546511628,-0.49111656511627905,-0.49132960116279073,-0.4936571139534884,-0.6041477310465115,-0.7206373709302326,-0.7421980581395349,-0.7296915372093022,-0.33643430488372095,-0.5729351680232558,-0.48806267839534884,-0.4824397848837209,-0.4600904372093023,-0.5203375029069768,-0.3815485511627907,-0.40255145813953486,-0.3740493465116279,-0.3338076825581396
MOp,-0.03028916598135593,0.2837318493728813,0.28024823259322035,0.2726618306271187,0.09422521960508475,0.2670232453322034,0.12210720333898306,0.3426034859491525,0.010802399186440676,0.059264977644067796,0.02764938594915254,0.12485983255932204,-0.07206458627118645,-0.031436365505084746,-0.02147004638983051,-0.02881691189661017,-0.08077951860677966,-0.12371852784745763
MOs,0.2936719946028881,0.33969983142418775,0.34383236191335736,0.34757787835198556,0.6353253480505415,0.6351156207184115,0.14020492844765342,0.594615503431408,0.04058325408122744,0.48762982314981945,0.3564806410072202,0.2077282320397112,0.23213823256317692,0.28813054234296026,0.2780713024963899,0.22219487833935017,0.20574142828519856,0.14254801590252708
RSPv,-0.022717035544554457,0.747457630990099,0.7456550667326732,0.7333576498679868,0.49895997531353137,-0.09926582412541254,-0.2798797587788779,0.5490914769768978,0.399679877359736,0.1213793307260726,0.11164726459735973,0.13705842768976897,-0.16138918531353133,-0.372377312310231,-0.18540387392739274,-0.14568945370297032,-0.2107425308580858,-0.07296517689768978
SSp-bfd,-0.15800233288389515,0.19737194040449438,0.19387663394007493,0.18401226705805243,-0.17796137737827714,0.1898308737846442,0.12035685363857677,0.24612251259550566,0.01676028570973783,-0.05808883091011236,-0.05000496396254682,0.159559618258427,-0.26728961653558053,-0.37801455917603,-0.296126063741573,-0.2882107293632959,-0.27492789123595507,-0.28572059043071163
SSp-ll,-0.015186125179856116,0.39093687460431653,0.38984114834532374,0.38331872374100723,0.03917683978417267,0.41963375021582733,-0.1313050892086331,0.294665985676259,-0.06401689136690647,0.07731812597122302,0.2130929734532374,0.3245067243884892,-0.08516300575539569,-0.36605408992805755,-0.12033245755395683,-0.04824408129496402,-0.04805843640287769,-0.054745820143884884
SSp-m,-0.2628790802918288,0.16810526206225682,0.1604765215758755,0.14699019712062256,-0.196724486959144,0.01464932842412451,0.3111997047801557,0.20212333662937743,0.07848511011673152,-0.05181334536964981,-0.040053127511673156,0.08523053052665369,-0.28259830011673154,-0.31406336904669263,-0.246672891614786,-0.254994259344358,-0.2354962307392996,-0.2903937807782101
SSp-n,-0.051562169615384616,0.31552403269230767,0.3140729648461538,0.3064217766538462,-0.2062555833076923,0.11552714377615385,0.38853415146153847,0.29895843626923074,0.30975928355,0.03204119107307692,-0.02278186479615385,0.10900244211538461,-0.18551652561538462,-0.26388845142307693,-0.23063860859615384,-0.2005124992692308,-0.1661180184230769,-0.18411327873076921
SSp-ul,0.03115948479166667,0.5167053358333333,0.5148044020416667,0.506297242375,0.03580591616666666,0.6469880728333333,0.13099212479166666,0.5597263223750001,0.48424996275,0.2068073289125,0.26181398670833333,0.3228834184091667,-0.07606905704166668,-0.23437166424999997,-0.098219655,-0.11918489366666667,-0.08895027785416668,-0.06289414374999999
