region_name_r316,Stems_mean,Bifurcations_mean,Branches_mean,Tips_mean,OverallWidth_mean,OverallHeight_mean,OverallDepth_mean,Length_mean,Volume_mean,MaxEuclideanDistance_mean,MaxPathDistance_mean,MaxBranchOrder_mean,AverageContraction_mean,AverageFragmentation_mean,AverageParent-daughterRatio_mean,AverageBifurcationAngleLocal_mean,AverageBifurcationAngleRemote_mean,HausdorffDimension_mean
AId,0.7945394231883732,0.7370331253804006,0.740592428885348,0.747449138929485,0.9392792507761891,0.8180728018703595,0.8776147020858931,0.8149647003567492,0.6787468915765328,0.9174748355764256,0.7923090022396138,0.815552822506468,0.8649886567952668,0.8800172588488954,0.8503779036700746,0.8352772060024063,0.8149387259209795,0.8380026557701259
CLA,0.5785054957537711,0.5545895140654626,0.5541798453619632,0.5541213348756466,0.614562456798253,0.4978634131977421,0.5559414126981442,0.5165950944151247,0.6581050350502193,0.7043153711378114,0.757851261948464,0.7226730374108619,0.6076458433520355,0.6246807938901904,0.6377743276328447,0.6817923388353416,0.6529552492530756,0.682166998360294
MOp,0.90531899688158,1.0703383083999702,1.0632368684636522,1.0563461504360188,0.9493889953292406,1.0381517711024542,1.0139052217541,1.0954262285579746,0.9978781214002667,0.9654651108535746,0.9455507495929315,1.0613626134140666,0.9538924984506065,0.915382168589257,0.9817975456548674,0.9797364592049513,0.9599568340661386,0.9458941403753186
MOs,1.0612665164015087,1.1022147097207196,1.0999497218981917,1.0987994338907197,1.1775654657314387,1.108974388635342,1.0484297263684705,1.0924109803209867,1.0160060399719761,1.1447998563811372,1.1256237921444556,1.0511782330543435,1.088352969479279,1.0139785085265915,1.1080251364320035,1.0753561450577667,1.059823628291462,1.0568984007155666
RSPv,0.9480711814136055,1.2000030217041115,1.1985929817947503,1.1943293137508626,0.9297937369595297,0.7870131233389693,0.8060554842797809,1.0645495242020542,1.1542055042902375,0.8496811098684156,0.9190247009903869,1.0790097334990685,0.8712293587858766,0.7001717850041722,0.8626870732797303,0.9303666742788094,0.9063455882428917,0.900640447860831
SSp-bfd,0.7991090552832918,0.8732985125769196,0.8696349394238037,0.8658482958919453,0.6841796653120483,0.8982646818213373,0.7877580767525456,0.8650635889728129,0.8769211677310372,0.777019825607588,0.8450609194649944,0.9051012794446281,0.7889521583071212,0.6203204440666236,0.7762925859146944,0.7661898237741462,0.7695989822336192,0.8025604161251606
SSp-ll,0.8163744771375587,1.027679594342695,1.02732068212962,1.0272044619517335,0.8737737331231262,0.9470230307650023,0.8036204284307392,1.0163498708749605,0.8816610944880151,0.938317184170816,0.9424203609032833,1.2221294666583504,0.9057377229827188,0.6850840345216535,0.8880954647526981,0.9117986823707785,0.8598736721745822,0.9419817300219241
SSp-m,0.6983654012784859,0.9318789417341239,0.926928379473762,0.9207456590490969,0.742536801215514,0.8228304653636994,0.8363573203626056,0.9327318488567136,1.0035826465114055,0.7905796857519137,0.8483059664343022,0.8477840185935663,0.7881457013140412,0.6888841066122544,0.825970764475248,0.8288180137364026,0.793491513280177,0.809483420105914
SSp-n,0.9688425312138611,0.902720907344377,0.9046659614583591,0.9061655718392407,0.7058726228980127,0.8131224228846257,0.8968107814778178,0.8045097694854871,1.0097248494862994,0.7416136140587495,0.7971461463653186,0.754339470884703,0.8695178592405247,0.7396640025432774,0.8824315734434591,0.8337638482602014,0.8421039081472643,0.8955516438063744
SSp-ul,0.9263049734401325,0.9517276765365954,0.9550904709891553,0.9581752679743044,0.7950046247034188,0.9712505763067981,0.8270974419639262,0.8690548833532795,1.0937453527893037,0.895718597375637,0.9544394861476211,0.9258058829058712,0.954438641856012,0.7736753914626014,0.9454459654096076,0.952810287134494,0.9242131158052901,0.9795268417789939
SSp-un,0.9178161602974068,0.9301238968603508,0.9299044277927191,0.9299853137252896,0.8030580291188547,0.905720999727718,0.8939416090918567,0.838713801370999,1.4225599293172533,0.8517097445640183,0.9807444307365105,0.9979874125183569,0.8529655385698838,0.687953799637639,0.8138984652301701,0.7732251364073718,0.8257503838844018,0.8198869794818994
SSs,0.7885485340611597,0.8552090890160609,0.8541059122651369,0.8514004793785744,0.6180561078186423,0.6271630451128043,0.836349813656658,0.8336505760910604,0.875880404071058,0.6212801799065941,0.6559411995423059,0.7607638686068018,0.6749654520782169,0.5790783297900548,0.6428302728603362,0.6589705768268185,0.6544855658324644,0.7105344402458851
VISp,0.9265158752721693,1.031905384039586,1.0326062408953636,1.0323421030402034,0.8204080806721158,0.8610836664556861,0.8018822735388178,0.9171055338037248,0.8613684154014187,0.8439153764120361,0.8558300565778466,0.95150312417998,0.8789423281158445,0.7230316178507848,0.874986709120323,0.8874181532969985,0.8646928221856642,0.8973365209607237
VISrl,0.9470728193251862,0.9970728642891183,0.998992990478273,1.0014610302832523,0.8938033132764948,0.8675920318017615,0.8289372192706449,0.888448937929261,1.0046159342186314,0.8660300847748604,0.9023887436847491,0.8991243372488987,0.8883559470567675,0.5787572050882731,0.8764215603878633,0.8975449123019958,0.8565796437082654,0.8918501777927806
LGd,1.2348312949701807,1.0193829329078454,1.0152830776619879,1.017391801232255,0.9404732726804881,0.9320662474005973,0.8422389163747721,0.9595287317408002,0.608446567431049,1.0280290606813114,1.250375288664505,1.2825768306182448,1.145037949021053,1.0821945220663811,1.1347435888213617,1.1590641830932757,1.0358958844402597,1.2004615694478948
MG,1.0598009921700675,1.1071572914255017,1.1128814480180385,1.1205880880362549,0.8586157392625083,0.8466737517849652,0.9012627272486464,0.9567451056227838,0.7635306738486263,0.909864880176931,0.8095737864157916,0.9610539606095139,0.9952007632285507,0.6484816449148967,0.9428979779107188,0.9652996136018327,0.9322418841843589,1.1078220628272177
